,hexsha,commit_date,committer,author,change_summary
0,ef3c70316631c0bae709ea95bec68499c3e72e9b,2022-03-03T19:49:53,5713504251438942395,5713504251438942395,"{'LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}}"
1,9e9a97d573378b0a36a2545e8def087392bee907,2022-06-15T21:40:23,-4751162634521490753,5119115601189114812,"{'.github/PULL_REQUEST_TEMPLATE.md': {'change_type': 'A', 'insertions': '12', 'deletions': '0'}, '.github/workflows/test.yaml': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, '.gitignore': {'change_type': 'A', 'insertions': '40', 'deletions': '0'}, 'CONTRIBUTING.md': {'change_type': 'A', 'insertions': '69', 'deletions': '0'}, 'LICENSE': {'change_type': 'M', 'insertions': '36', 'deletions': '1'}, 'MANIFEST.in': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'NOTICE': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '78', 'deletions': '0'}, 'main.py': {'change_type': 'A', 'insertions': '32', 'deletions': '0'}, 'my_app/__init__.py': {'change_type': 'A', 'insertions': '9', 'deletions': '0'}, 'my_app/app.py': {'change_type': 'A', 'insertions': '27', 'deletions': '0'}, 'requirements.txt': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'setup.py': {'change_type': 'A', 'insertions': '22', 'deletions': '0'}, 'test/__init__.py': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'test/test_my_app.py': {'change_type': 'A', 'insertions': '34', 'deletions': '0'}}"
2,543117d6ab0b1050e714773380c89564001dfdcd,2022-06-16T22:00:13,5119115601189114812,5119115601189114812,"{'.github/workflows/test.yaml': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
3,8ba6cb35bb799d345c3ef2f7b8b279de3915d0a2,2022-06-17T17:44:12,-4751162634521490753,7716791433485130520,"{'.github/workflows/test.yaml': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
4,09b3af8a9012f0ef88f17f1ce9d37da14bf9f9e0,2022-07-13T21:08:06,5119115601189114812,5119115601189114812,"{'.github/dependabot.yml': {'change_type': 'A', 'insertions': '19', 'deletions': '0'}}"
5,3a26289a37cf1aa2168c43ccf1ae6d1598f6b814,2022-07-14T02:14:02,-4751162634521490753,7716791433485130520,"{'.github/dependabot.yml': {'change_type': 'A', 'insertions': '19', 'deletions': '0'}}"
6,7d083ddb102bc970a19584d9ab238572aae0a946,2022-10-31T22:12:21,-5035028289556530146,-5035028289556530146,"{'.github/PULL_REQUEST_TEMPLATE.md': {'change_type': 'D', 'insertions': '0', 'deletions': '12'}, '.github/dependabot.yml': {'change_type': 'D', 'insertions': '0', 'deletions': '19'}, '.github/workflows/test.yaml': {'change_type': 'D', 'insertions': '0', 'deletions': '30'}, 'CONTRIBUTING.md': {'change_type': 'D', 'insertions': '0', 'deletions': '69'}, 'LICENSE': {'change_type': 'D', 'insertions': '0', 'deletions': '236'}, 'MANIFEST.in': {'change_type': 'D', 'insertions': '0', 'deletions': '1'}, 'NOTICE': {'change_type': 'D', 'insertions': '0', 'deletions': '5'}, 'README.md': {'change_type': 'M', 'insertions': '6', 'deletions': '73'}, 'main.py': {'change_type': 'M', 'insertions': '26', 'deletions': '6'}, 'my_app/app.py': {'change_type': 'M', 'insertions': '303', 'deletions': '11'}, 'requirements.txt': {'change_type': 'D', 'insertions': '0', 'deletions': '1'}, 'setup.py': {'change_type': 'M', 'insertions': '4', 'deletions': '3'}, 'test/__init__.py': {'change_type': 'D', 'insertions': '0', 'deletions': '7'}, 'test/test_my_app.py': {'change_type': 'D', 'insertions': '0', 'deletions': '34'}}"
7,3bc87b027b508b12aba0f1306276b97599b70cbe,2022-10-31T22:16:47,-5035028289556530146,-5035028289556530146,"{'.github/PULL_REQUEST_TEMPLATE.md': {'change_type': 'A', 'insertions': '12', 'deletions': '0'}, '.github/dependabot.yml': {'change_type': 'A', 'insertions': '19', 'deletions': '0'}, '.github/workflows/test.yaml': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, 'CONTRIBUTING.md': {'change_type': 'A', 'insertions': '69', 'deletions': '0'}, 'LICENSE': {'change_type': 'A', 'insertions': '236', 'deletions': '0'}, 'MANIFEST.in': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'NOTICE': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'README.md': {'change_type': 'M', 'insertions': '73', 'deletions': '6'}, 'main.py': {'change_type': 'M', 'insertions': '6', 'deletions': '26'}, 'my_app/app.py': {'change_type': 'M', 'insertions': '11', 'deletions': '303'}, 'requirements.txt': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'setup.py': {'change_type': 'M', 'insertions': '3', 'deletions': '4'}, 'test/__init__.py': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'test/test_my_app.py': {'change_type': 'A', 'insertions': '34', 'deletions': '0'}}"
8,cd302a4c87afe924ce975c0a19ae3c12b50f2f5c,2022-10-31T22:19:00,-4751162634521490753,3044689772941020431,"{'requirements.txt': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
9,4ee02e95feef017f18f73186451c8d65b95c913f,2022-10-31T22:19:08,-4751162634521490753,3044689772941020431,"{'.github/workflows/test.yaml': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
