,hexsha,commit_date,committer,author,change_summary
0,70706f8a42530ea3e9207db92fa4c334a32c44a4,2018-10-15T11:28:51,6760098655029146661,-3348663806195373781,"{'LICENSE': {'change_type': 'A', 'insertions': '202', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '75', 'deletions': '0'}, 'docs/Makefile': {'change_type': 'A', 'insertions': '20', 'deletions': '0'}, 'docs/conf.py': {'change_type': 'A', 'insertions': '176', 'deletions': '0'}, 'docs/datatypes/cache_props.rst': {'change_type': 'A', 'insertions': '163', 'deletions': '0'}, 'docs/datatypes/parsers.rst': {'change_type': 'A', 'insertions': '175', 'deletions': '0'}, 'docs/examples.rst': {'change_type': 'A', 'insertions': '624', 'deletions': '0'}, 'docs/index.rst': {'change_type': 'A', 'insertions': '33', 'deletions': '0'}, 'docs/modules.rst': {'change_type': 'A', 'insertions': '31', 'deletions': '0'}, 'docs/readme.rst': {'change_type': 'A', 'insertions': '202', 'deletions': '0'}, 'docs/source/modules.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.api.binary.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.api.cache_config.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.api.key_value.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.api.result.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.api.rst': {'change_type': 'A', 'insertions': '19', 'deletions': '0'}, 'docs/source/pyignite.api.sql.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.binary.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.cache.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.client.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.connection.generators.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.connection.handshake.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.connection.rst': {'change_type': 'A', 'insertions': '17', 'deletions': '0'}, 'docs/source/pyignite.connection.ssl.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.constants.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.binary.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.cache_config.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.cache_properties.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.complex.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.internal.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.key_value.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.null_object.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.primitive.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.primitive_arrays.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.primitive_objects.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.prop_codes.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.rst': {'change_type': 'A', 'insertions': '28', 'deletions': '0'}, 'docs/source/pyignite.datatypes.sql.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.standard.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.type_codes.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.exceptions.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.queries.op_codes.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.queries.rst': {'change_type': 'A', 'insertions': '15', 'deletions': '0'}, 'docs/source/pyignite.rst': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, 'docs/source/pyignite.utils.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'examples/binary_basics.py': {'change_type': 'A', 'insertions': '53', 'deletions': '0'}, 'examples/create_binary.py': {'change_type': 'A', 'insertions': '103', 'deletions': '0'}, 'examples/failover.py': {'change_type': 'A', 'insertions': '61', 'deletions': '0'}, 'examples/get_and_put.py': {'change_type': 'A', 'insertions': '41', 'deletions': '0'}, 'examples/migrate_binary.py': {'change_type': 'A', 'insertions': '190', 'deletions': '0'}, 'examples/read_binary.py': {'change_type': 'A', 'insertions': '275', 'deletions': '0'}, 'examples/readme.md': {'change_type': 'A', 'insertions': '17', 'deletions': '0'}, 'examples/scans.py': {'change_type': 'A', 'insertions': '55', 'deletions': '0'}, 'examples/sql.py': {'change_type': 'A', 'insertions': '298', 'deletions': '0'}, 'examples/type_hints.py': {'change_type': 'A', 'insertions': '51', 'deletions': '0'}, 'pyignite/__init__.py': {'change_type': 'A', 'insertions': '17', 'deletions': '0'}, 'pyignite/api/__init__.py': {'change_type': 'A', 'insertions': '71', 'deletions': '0'}, 'pyignite/api/binary.py': {'change_type': 'A', 'insertions': '209', 'deletions': '0'}, 'pyignite/api/cache_config.py': {'change_type': 'A', 'insertions': '279', 'deletions': '0'}, 'pyignite/api/key_value.py': {'change_type': 'A', 'insertions': '995', 'deletions': '0'}, 'pyignite/api/result.py': {'change_type': 'A', 'insertions': '38', 'deletions': '0'}, 'pyignite/api/sql.py': {'change_type': 'A', 'insertions': '478', 'deletions': '0'}, 'pyignite/binary.py': {'change_type': 'A', 'insertions': '136', 'deletions': '0'}, 'pyignite/cache.py': {'change_type': 'A', 'insertions': '595', 'deletions': '0'}, 'pyignite/client.py': {'change_type': 'A', 'insertions': '406', 'deletions': '0'}, 'pyignite/connection/__init__.py': {'change_type': 'A', 'insertions': '329', 'deletions': '0'}, 'pyignite/connection/generators.py': {'change_type': 'A', 'insertions': '48', 'deletions': '0'}, 'pyignite/connection/handshake.py': {'change_type': 'A', 'insertions': '91', 'deletions': '0'}, 'pyignite/connection/ssl.py': {'change_type': 'A', 'insertions': '39', 'deletions': '0'}, 'pyignite/constants.py': {'change_type': 'A', 'insertions': '52', 'deletions': '0'}, 'pyignite/datatypes/__init__.py': {'change_type': 'A', 'insertions': '27', 'deletions': '0'}, 'pyignite/datatypes/binary.py': {'change_type': 'A', 'insertions': '45', 'deletions': '0'}, 'pyignite/datatypes/cache_config.py': {'change_type': 'A', 'insertions': '153', 'deletions': '0'}, 'pyignite/datatypes/cache_properties.py': {'change_type': 'A', 'insertions': '287', 'deletions': '0'}, 'pyignite/datatypes/complex.py': {'change_type': 'A', 'insertions': '531', 'deletions': '0'}, 'pyignite/datatypes/internal.py': {'change_type': 'A', 'insertions': '461', 'deletions': '0'}, 'pyignite/datatypes/key_value.py': {'change_type': 'A', 'insertions': '24', 'deletions': '0'}, 'pyignite/datatypes/null_object.py': {'change_type': 'A', 'insertions': '63', 'deletions': '0'}, 'pyignite/datatypes/primitive.py': {'change_type': 'A', 'insertions': '105', 'deletions': '0'}, 'pyignite/datatypes/primitive_arrays.py': {'change_type': 'A', 'insertions': '207', 'deletions': '0'}, 'pyignite/datatypes/primitive_objects.py': {'change_type': 'A', 'insertions': '157', 'deletions': '0'}, 'pyignite/datatypes/prop_codes.py': {'change_type': 'A', 'insertions': '51', 'deletions': '0'}, 'pyignite/datatypes/sql.py': {'change_type': 'A', 'insertions': '23', 'deletions': '0'}, 'pyignite/datatypes/standard.py': {'change_type': 'A', 'insertions': '713', 'deletions': '0'}, 'pyignite/datatypes/type_codes.py': {'change_type': 'A', 'insertions': '57', 'deletions': '0'}, 'pyignite/exceptions.py': {'change_type': 'A', 'insertions': '80', 'deletions': '0'}, 'pyignite/queries/__init__.py': {'change_type': 'A', 'insertions': '339', 'deletions': '0'}, 'pyignite/queries/op_codes.py': {'change_type': 'A', 'insertions': '65', 'deletions': '0'}, 'pyignite/utils.py': {'change_type': 'A', 'insertions': '168', 'deletions': '0'}, 'requirements/docs.txt': {'change_type': 'A', 'insertions': '6', 'deletions': '0'}, 'requirements/install.txt': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'requirements/setup.txt': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}, 'requirements/tests.txt': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'setup.py': {'change_type': 'A', 'insertions': '100', 'deletions': '0'}, 'tests/conftest.py': {'change_type': 'A', 'insertions': '218', 'deletions': '0'}, 'tests/test_binary.py': {'change_type': 'A', 'insertions': '281', 'deletions': '0'}, 'tests/test_cache_class.py': {'change_type': 'A', 'insertions': '221', 'deletions': '0'}, 'tests/test_cache_class_sql.py': {'change_type': 'A', 'insertions': '103', 'deletions': '0'}, 'tests/test_cache_config.py': {'change_type': 'A', 'insertions': '75', 'deletions': '0'}, 'tests/test_datatypes.py': {'change_type': 'A', 'insertions': '134', 'deletions': '0'}, 'tests/test_examples.py': {'change_type': 'A', 'insertions': '57', 'deletions': '0'}, 'tests/test_generic_object.py': {'change_type': 'A', 'insertions': '33', 'deletions': '0'}, 'tests/test_get_names.py': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, 'tests/test_handshake.py': {'change_type': 'A', 'insertions': '63', 'deletions': '0'}, 'tests/test_key_value.py': {'change_type': 'A', 'insertions': '327', 'deletions': '0'}, 'tests/test_scan.py': {'change_type': 'A', 'insertions': '66', 'deletions': '0'}, 'tests/test_sql.py': {'change_type': 'A', 'insertions': '154', 'deletions': '0'}}"
1,9c368a364fdb6abb3e751b0b05a28a0dc36ede23,2018-10-18T09:09:37,8853131483066295880,-3348663806195373781,"{'pyignite/datatypes/primitive.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'pyignite/datatypes/primitive_objects.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'pyignite/datatypes/standard.py': {'change_type': 'M', 'insertions': '3', 'deletions': '3'}, 'pyignite/queries/__init__.py': {'change_type': 'M', 'insertions': '3', 'deletions': '3'}, 'setup.py': {'change_type': 'M', 'insertions': '5', 'deletions': '1'}}"
2,ed6de34e9f43310a8f04bff3353d4db9d6a6fbc9,2018-10-22T16:27:36,6760098655029146661,-3348663806195373781,"{'pyignite/datatypes/standard.py': {'change_type': 'M', 'insertions': '25', 'deletions': '9'}, 'setup.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
3,4ebd0d05317da7b7ca53f1f15ce05e68c5491eeb,2018-11-26T14:34:19,6760098655029146661,-3348663806195373781,"{'docs/source/pyignite.datatypes.base.rst': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'docs/source/pyignite.datatypes.rst': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}, 'pyignite/datatypes/base.py': {'change_type': 'A', 'insertions': '24', 'deletions': '0'}, 'pyignite/datatypes/complex.py': {'change_type': 'M', 'insertions': '9', 'deletions': '14'}, 'pyignite/datatypes/internal.py': {'change_type': 'M', 'insertions': '15', 'deletions': '4'}, 'pyignite/datatypes/null_object.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'pyignite/datatypes/primitive.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'pyignite/datatypes/primitive_arrays.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'pyignite/datatypes/primitive_objects.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'pyignite/datatypes/standard.py': {'change_type': 'M', 'insertions': '5', 'deletions': '4'}, 'pyignite/utils.py': {'change_type': 'M', 'insertions': '5', 'deletions': '1'}, 'setup.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'tests/test_key_value.py': {'change_type': 'M', 'insertions': '74', 'deletions': '1'}}"
4,b84185fed08209bd36fa93f7931bc911cf9fcb97,2019-01-30T09:26:11,8853131483066295880,-7028530666567869228,"{'tests/test_binary.py': {'change_type': 'M', 'insertions': '0', 'deletions': '1'}}"
5,2db911479d0ec0a559146c583812ad5443ce3700,2019-03-22T10:33:49,6760098655029146661,-3348663806195373781,"{'pyignite/datatypes/standard.py': {'change_type': 'M', 'insertions': '11', 'deletions': '2'}, 'tests/test_datatypes.py': {'change_type': 'M', 'insertions': '42', 'deletions': '0'}}"
6,0a9d71f36e843eee3e2a6676de3ee50028fce11e,2020-08-31T13:16:25,-4751162634521490753,5759505584916500133,"{'pyignite/connection/__init__.py': {'change_type': 'M', 'insertions': '4', 'deletions': '0'}, 'pyignite/connection/ssl.py': {'change_type': 'M', 'insertions': '25', 'deletions': '15'}, 'tests/config/ssl.xml': {'change_type': 'A', 'insertions': '58', 'deletions': '0'}, 'tests/config/ssl/README.txt': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}, 'tests/config/ssl/client_full.pem': {'change_type': 'A', 'insertions': '52', 'deletions': '0'}, 'tests/config/ssl/client_with_pass_full.pem': {'change_type': 'A', 'insertions': '54', 'deletions': '0'}, 'tests/config/ssl/server.jks': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'tests/config/ssl/trust.jks': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'tests/conftest.py': {'change_type': 'M', 'insertions': '10', 'deletions': '1'}, 'tests/test_handshake.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}}"
7,4b60f30f73f6a7f3703c7fe4d5aa40339b6d1c25,2020-09-01T10:09:42,-4751162634521490753,633425356894630542,"{'pyignite/api/sql.py': {'change_type': 'M', 'insertions': '1', 'deletions': '4'}, 'tests/test_sql.py': {'change_type': 'M', 'insertions': '30', 'deletions': '0'}}"
8,51e9c829725c7f24724446656149c621a39389af,2020-12-28T11:22:28,6760098655029146661,-1779207647107025911,"{'.asf.yaml': {'change_type': 'A', 'insertions': '34', 'deletions': '0'}, '.gitignore': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, '.travis.yml': {'change_type': 'A', 'insertions': '34', 'deletions': '0'}, 'README.md': {'change_type': 'M', 'insertions': '26', 'deletions': '7'}, 'docker-compose.yml': {'change_type': 'A', 'insertions': '34', 'deletions': '0'}, 'tests/config/ssl.xml': {'change_type': 'M', 'insertions': '0', 'deletions': '2'}, 'tests/config/ssl/README.txt': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'tests/config/ssl/generate_certificates.sh': {'change_type': 'A', 'insertions': '127', 'deletions': '0'}, 'tests/conftest.py': {'change_type': 'M', 'insertions': '18', 'deletions': '0'}, 'tests/test_examples.py': {'change_type': 'M', 'insertions': '1', 'deletions': '7'}, 'tox.ini': {'change_type': 'A', 'insertions': '85', 'deletions': '0'}}"
9,99ed735a3ac34542c633e8bb0c94c7707f32a7da,2021-01-25T14:14:11,6760098655029146661,6760098655029146661,"{'.gitignore': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}, '.travis.yml': {'change_type': 'M', 'insertions': '10', 'deletions': '6'}, 'docker-compose.yml': {'change_type': 'D', 'insertions': '0', 'deletions': '34'}, 'docs/datatypes/parsers.rst': {'change_type': 'M', 'insertions': '88', 'deletions': '88'}, 'docs/examples.rst': {'change_type': 'M', 'insertions': '96', 'deletions': '47'}, 'docs/readme.rst': {'change_type': 'M', 'insertions': '4', 'deletions': '0'}, 'examples/failover.py': {'change_type': 'M', 'insertions': '19', 'deletions': '15'}, 'examples/get_and_put_complex.py': {'change_type': 'A', 'insertions': '68', 'deletions': '0'}, 'pyignite/api/__init__.py': {'change_type': 'M', 'insertions': '4', 'deletions': '0'}, 'pyignite/api/affinity.py': {'change_type': 'A', 'insertions': '135', 'deletions': '0'}, 'pyignite/api/binary.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}, 'pyignite/api/key_value.py': {'change_type': 'M', 'insertions': '112', 'deletions': '45'}, 'pyignite/api/result.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'pyignite/api/sql.py': {'change_type': 'M', 'insertions': '65', 'deletions': '77'}, 'pyignite/binary.py': {'change_type': 'M', 'insertions': '104', 'deletions': '25'}, 'pyignite/cache.py': {'change_type': 'M', 'insertions': '277', 'deletions': '41'}, 'pyignite/client.py': {'change_type': 'M', 'insertions': '224', 'deletions': '30'}, 'pyignite/connection/__init__.py': {'change_type': 'M', 'insertions': '243', 'deletions': '94'}, 'pyignite/connection/generators.py': {'change_type': 'D', 'insertions': '0', 'deletions': '48'}, 'pyignite/connection/handshake.py': {'change_type': 'M', 'insertions': '8', 'deletions': '27'}, 'pyignite/connection/ssl.py': {'change_type': 'M', 'insertions': '10', 'deletions': '10'}, 'pyignite/constants.py': {'change_type': 'M', 'insertions': '19', 'deletions': '3'}, 'pyignite/datatypes/base.py': {'change_type': 'M', 'insertions': '28', 'deletions': '2'}, 'pyignite/datatypes/complex.py': {'change_type': 'M', 'insertions': '192', 'deletions': '103'}, 'pyignite/datatypes/internal.py': {'change_type': 'M', 'insertions': '48', 'deletions': '15'}, 'pyignite/datatypes/key_value.py': {'change_type': 'M', 'insertions': '6', 'deletions': '4'}, 'pyignite/datatypes/null_object.py': {'change_type': 'M', 'insertions': '6', 'deletions': '0'}, 'pyignite/datatypes/primitive.py': {'change_type': 'M', 'insertions': '20', 'deletions': '1'}, 'pyignite/datatypes/primitive_arrays.py': {'change_type': 'M', 'insertions': '93', 'deletions': '2'}, 'pyignite/datatypes/primitive_objects.py': {'change_type': 'M', 'insertions': '61', 'deletions': '2'}, 'pyignite/datatypes/standard.py': {'change_type': 'M', 'insertions': '98', 'deletions': '10'}, 'pyignite/datatypes/type_ids.py': {'change_type': 'A', 'insertions': '52', 'deletions': '0'}, 'pyignite/datatypes/type_names.py': {'change_type': 'A', 'insertions': '46', 'deletions': '0'}, 'pyignite/exceptions.py': {'change_type': 'M', 'insertions': '8', 'deletions': '1'}, 'pyignite/queries/__init__.py': {'change_type': 'M', 'insertions': '1', 'deletions': '316'}, 'pyignite/queries/op_codes.py': {'change_type': 'M', 'insertions': '2', 'deletions': '0'}, 'pyignite/queries/query.py': {'change_type': 'A', 'insertions': '164', 'deletions': '0'}, 'pyignite/queries/response.py': {'change_type': 'A', 'insertions': '428', 'deletions': '0'}, 'pyignite/utils.py': {'change_type': 'M', 'insertions': '134', 'deletions': '8'}, 'requirements/tests.txt': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}, 'tests/config/ignite-config-base.xml': {'change_type': 'A', 'insertions': '78', 'deletions': '0'}, 'tests/config/ignite-config-ssl.xml': {'change_type': 'A', 'insertions': '51', 'deletions': '0'}, 'tests/config/ignite-config.xml': {'change_type': 'A', 'insertions': '39', 'deletions': '0'}, 'tests/config/log4j.xml': {'change_type': 'A', 'insertions': '42', 'deletions': '0'}, 'tests/config/ssl.xml': {'change_type': 'D', 'insertions': '0', 'deletions': '56'}, 'tests/conftest.py': {'change_type': 'M', 'insertions': '128', 'deletions': '29'}, 'tests/test_affinity.py': {'change_type': 'A', 'insertions': '229', 'deletions': '0'}, 'tests/test_affinity_bad_servers.py': {'change_type': 'A', 'insertions': '63', 'deletions': '0'}, 'tests/test_affinity_request_routing.py': {'change_type': 'A', 'insertions': '179', 'deletions': '0'}, 'tests/test_affinity_single_connection.py': {'change_type': 'A', 'insertions': '102', 'deletions': '0'}, 'tests/test_binary.py': {'change_type': 'M', 'insertions': '26', 'deletions': '0'}, 'tests/test_cache_class.py': {'change_type': 'M', 'insertions': '18', 'deletions': '3'}, 'tests/test_cache_config.py': {'change_type': 'M', 'insertions': '12', 'deletions': '8'}, 'tests/test_datatypes.py': {'change_type': 'M', 'insertions': '42', 'deletions': '7'}, 'tests/test_get_names.py': {'change_type': 'M', 'insertions': '4', 'deletions': '2'}, 'tests/test_handshake.py': {'change_type': 'D', 'insertions': '0', 'deletions': '64'}, 'tests/test_key_value.py': {'change_type': 'M', 'insertions': '110', 'deletions': '70'}, 'tests/test_scan.py': {'change_type': 'M', 'insertions': '10', 'deletions': '8'}, 'tests/test_sql.py': {'change_type': 'M', 'insertions': '15', 'deletions': '11'}, 'tests/util.py': {'change_type': 'A', 'insertions': '179', 'deletions': '0'}, 'tox.ini': {'change_type': 'M', 'insertions': '7', 'deletions': '36'}}"
