,hexsha,commit_date,committer,author,change_summary
0,81638ed3c179dbb2e2e5578df97902a8afdfcf48,2023-01-24T10:42:50,-4751162634521490753,4118407414883460808,"{'LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}}"
1,37b1b3ed2562cbc516e7c5b3e6b0bd79a6a7dc98,2023-01-24T10:43:12,-4751162634521490753,4118407414883460808,"{'README.md': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}}"
2,d77abc2bccf273685495f57ff5eba1c5c0584093,2023-01-24T10:46:33,4118407414883460808,4118407414883460808,"{'.gitignore': {'change_type': 'A', 'insertions': '129', 'deletions': '0'}, 'app.py': {'change_type': 'A', 'insertions': '106', 'deletions': '0'}, 'docs/nft_market.md': {'change_type': 'A', 'insertions': '119', 'deletions': '0'}, 'docs/research.md': {'change_type': 'A', 'insertions': '31', 'deletions': '0'}, 'get-pip.py': {'change_type': 'A', 'insertions': '32207', 'deletions': '0'}, 'requirements.txt': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'resdb_driver/__init__.py': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'resdb_driver/connection.py': {'change_type': 'A', 'insertions': '134', 'deletions': '0'}, 'resdb_driver/crypto.py': {'change_type': 'A', 'insertions': '25', 'deletions': '0'}, 'resdb_driver/driver.py': {'change_type': 'A', 'insertions': '563', 'deletions': '0'}, 'resdb_driver/driver_experiment.py': {'change_type': 'A', 'insertions': '274', 'deletions': '0'}, 'resdb_driver/exceptions.py': {'change_type': 'A', 'insertions': '181', 'deletions': '0'}, 'resdb_driver/offchain.py': {'change_type': 'A', 'insertions': '346', 'deletions': '0'}, 'resdb_driver/pool.py': {'change_type': 'A', 'insertions': '64', 'deletions': '0'}, 'resdb_driver/transaction.py': {'change_type': 'A', 'insertions': '1272', 'deletions': '0'}, 'resdb_driver/transport.py': {'change_type': 'A', 'insertions': '89', 'deletions': '0'}, 'resdb_driver/utils.py': {'change_type': 'A', 'insertions': '125', 'deletions': '0'}, 'resdb_driver/validate.py': {'change_type': 'A', 'insertions': '72', 'deletions': '0'}, 'test_driver.py': {'change_type': 'A', 'insertions': '79', 'deletions': '0'}}"
3,ce27fcf94c61b6662d58b569fe22863736e9c79a,2023-02-02T19:34:51,4118407414883460808,4118407414883460808,"{'requirements.txt': {'change_type': 'M', 'insertions': '78', 'deletions': '1'}}"
4,4c3d96f3ced07ccb6b436c6d9a60ba76a1fd78a2,2023-02-06T10:00:26,-5597598265979400205,-5597598265979400205,"{'README.md': {'change_type': 'M', 'insertions': '58', 'deletions': '0'}}"
5,c7b68afc4752fa6b05a6613940185518d8be7b15,2023-04-13T03:41:15,4303869911541892780,4303869911541892780,"{'README.md': {'change_type': 'M', 'insertions': '80', 'deletions': '1'}}"
6,352eadc43b40ec4a7c35eec119444febb14758e4,2023-04-13T03:48:27,-4751162634521490753,8644458921517799556,"{'README.md': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}}"
7,ebc4586b7c71ee30864e24eacb7b4a1ef3ec0005,2023-07-25T04:51:42,4118407414883460808,4118407414883460808,"{'app.py': {'change_type': 'M', 'insertions': '56', 'deletions': '1'}, 'filter.py': {'change_type': 'A', 'insertions': '54', 'deletions': '0'}}"
8,6d43d2f6ec082bcd6e407089fba7a39fcc225e39,2023-07-25T05:04:02,4118407414883460808,4118407414883460808,"{'requirements.txt': {'change_type': 'M', 'insertions': '30', 'deletions': '61'}}"
9,eea8c96d94e49ca5c04d115a379529c959a95849,2023-07-25T16:42:35,4118407414883460808,4118407414883460808,"{'app.py': {'change_type': 'M', 'insertions': '0', 'deletions': '1'}, 'filter.py': {'change_type': 'M', 'insertions': '7', 'deletions': '1'}}"
