,key,rule,severity,component,project,hash,textRange,flows,resolution,status,message,effort,debt,author,tags,creationDate,updateDate,closeDate,type,scope,quickFixAvailable,messageFormattings,codeVariants,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,prioritizedRule,line
0,11ad0afc-aa88-4042-af36-af0bd31aaac2,python:S1481,MINOR,apache-infrastructure-asfpy:asfpy/clitools.py,apache-infrastructure-asfpy,511d49c49d10c87f3b02702d2a506126,"{'startLine': 89, 'endLine': 89, 'startOffset': 12, 'endOffset': 18}",[],FIXED,CLOSED,"Replace the unused local variable ""stderr"" with ""_"".",5min,5min,humbedooh@apache.org,['unused'],2023-07-10T11:26:04,2023-08-24T18:22:38,2023-08-24T18:22:38,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
1,2367f809-1f88-4b8b-a738-d80e19090418,python:S3776,CRITICAL,apache-infrastructure-asfpy:asfpy/messaging.py,apache-infrastructure-asfpy,bed2f7a817da41a64ef4e69727016e4c,"{'startLine': 60, 'endLine': 60, 'startOffset': 4, 'endOffset': 8}","[{'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 82, 'endLine': 82, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 84, 'endLine': 84, 'startOffset': 4, 'endOffset': 8}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 88, 'endLine': 88, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 88, 'endLine': 88, 'startOffset': 17, 'endOffset': 19}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 95, 'endLine': 95, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 94, 'endLine': 94, 'startOffset': 26, 'endOffset': 29}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 95, 'endLine': 95, 'startOffset': 29, 'endOffset': 32}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 97, 'endLine': 97, 'startOffset': 30, 'endOffset': 32}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 99, 'endLine': 99, 'startOffset': 60, 'endOffset': 63}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 99, 'endLine': 99, 'startOffset': 33, 'endOffset': 35}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 103, 'endLine': 103, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 107, 'endLine': 107, 'startOffset': 4, 'endOffset': 8}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 115, 'endLine': 115, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 120, 'endLine': 120, 'startOffset': 27, 'endOffset': 29}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 121, 'endLine': 121, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 124, 'endLine': 124, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 126, 'endLine': 126, 'startOffset': 4, 'endOffset': 8}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 132, 'endLine': 132, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 134, 'endLine': 134, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 136, 'endLine': 136, 'startOffset': 4, 'endOffset': 7}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 137, 'endLine': 137, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 147, 'endLine': 147, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 148, 'endLine': 148, 'startOffset': 8, 'endOffset': 11}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 151, 'endLine': 151, 'startOffset': 12, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 169, 'endLine': 169, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 171, 'endLine': 171, 'startOffset': 4, 'endOffset': 8}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/messaging.py', 'textRange': {'startLine': 174, 'endLine': 174, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1', 'msgFormattings': []}]}]",,OPEN,Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.,21min,21min,gstein@gmail.com,['brain-overload'],2022-10-03T12:02:36,2023-05-24T15:15:30,,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,60.0
2,6fbfb3e1-04d7-467e-833d-4aa7c6974733,python:S1481,MINOR,apache-infrastructure-asfpy:asfpy/crypto.py,apache-infrastructure-asfpy,24c05be75cf636674faee33587e14d93,"{'startLine': 78, 'endLine': 78, 'startOffset': 59, 'endOffset': 60}",[],FIXED,CLOSED,"Remove the unused local variable ""e"".",5min,5min,humbedooh@apache.org,['unused'],2024-09-18T16:48:42,2024-10-01T09:43:24,2024-10-01T09:43:24,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",FIXED,False,
3,e8293b7e-b91d-43e8-a7c6-70ae045f41ec,python:S112,MAJOR,apache-infrastructure-asfpy:asfpy/db.py,apache-infrastructure-asfpy,30cfdb3293c0b416e91dbd4c8966bead,"{'startLine': 76, 'endLine': 76, 'startOffset': 26, 'endOffset': 57}",[],FIXED,CLOSED,Replace this generic exception class with a more specific one.,20min,20min,gstein@gmail.com,"['cwe', 'error-handling']",2024-06-19T05:05:21,2025-02-14T18:48:53,2025-02-14T18:48:53,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",FIXED,False,
4,9f2ac60e-a88c-4216-92f2-1e747d2124be,python:S3776,CRITICAL,apache-infrastructure-asfpy:asfpy/ldapadmin.py,apache-infrastructure-asfpy,4dda75049dd7405cd4401c9196e30190,"{'startLine': 398, 'endLine': 398, 'startOffset': 8, 'endOffset': 20}","[{'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 401, 'endLine': 401, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 403, 'endLine': 403, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 407, 'endLine': 407, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 409, 'endLine': 409, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 421, 'endLine': 421, 'startOffset': 8, 'endOffset': 11}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 423, 'endLine': 423, 'startOffset': 12, 'endOffset': 15}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 426, 'endLine': 426, 'startOffset': 16, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 432, 'endLine': 432, 'startOffset': 8, 'endOffset': 11}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 434, 'endLine': 434, 'startOffset': 12, 'endOffset': 15}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfpy:asfpy/ldapadmin.py', 'textRange': {'startLine': 437, 'endLine': 437, 'startOffset': 16, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}]",,OPEN,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,6min,humbedooh@apache.org,['brain-overload'],2023-07-07T16:58:56,2023-07-10T11:26:04,,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,398.0
5,671d6599-0317-480e-8855-d7f7ffcfb1a5,python:S101,MINOR,apache-infrastructure-asfpy:asfpy/aioldap.py,apache-infrastructure-asfpy,ef85e15896f45caeefd623bee6aa38cd,"{'startLine': 39, 'endLine': 39, 'startOffset': 6, 'endOffset': 24}",[],,OPEN,"Rename class ""ASF_LDAPConnection"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",5min,5min,gstein@gmail.com,['convention'],2022-09-05T10:32:46,2022-09-05T11:32:46,,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,39.0
6,a41f0c01-bd57-4dd6-a8de-7669bc7410ea,python:S101,MINOR,apache-infrastructure-asfpy:asfpy/aioldap.py,apache-infrastructure-asfpy,5acd866cd79c3bd88582dccd834ce72a,"{'startLine': 108, 'endLine': 108, 'startOffset': 6, 'endOffset': 20}",[],,OPEN,"Rename class ""ASF_LDAPClient"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",5min,5min,gstein@gmail.com,['convention'],2022-09-05T10:32:46,2022-09-05T11:32:46,,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,108.0
7,1546e4a9-2fca-41b5-947a-d5decf7e618c,python:S1135,INFO,apache-infrastructure-asfpy:asfpy/aioldap.py,apache-infrastructure-asfpy,4e8bfc05f3912d5dacfdb9be96d834c8,"{'startLine': 115, 'endLine': 115, 'startOffset': 46, 'endOffset': 70}",[],,OPEN,"Complete the task associated to this ""TODO"" comment.",0min,0min,gstein@gmail.com,['cwe'],2022-09-05T10:32:46,2022-09-05T11:32:46,,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,115.0
8,08d1df08-c0bb-4b78-af7a-38fa7817d2a0,python:S3457,MAJOR,apache-infrastructure-asfpy:asfpy/pubsub.py,apache-infrastructure-asfpy,dd577218f5987cf50520dfc532021f5f,"{'startLine': 116, 'endLine': 116, 'startOffset': 49, 'endOffset': 92}",[],FIXED,CLOSED,Add replacement fields or use a normal string instead of an f-string.,1min,1min,gstein@gmail.com,['confusing'],2022-08-04T03:26:31,2023-03-23T17:47:53,2023-03-23T17:47:53,CODE_SMELL,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",FIXED,False,
9,34ac0c7f-ffd8-41ca-91a2-798832469b54,python:S3626,MINOR,apache-infrastructure-asfpy:asfpy/justone.py,apache-infrastructure-asfpy,e70c4df10ef0983b9c8c31bd06b2a2c3,"{'startLine': 130, 'endLine': 130, 'startOffset': 4, 'endOffset': 10}",[],,OPEN,Remove this redundant return.,1min,1min,humbedooh@apache.org,"['redundant', 'clumsy']",2022-07-30T13:47:25,2022-08-04T04:26:31,,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,130.0
