,hexsha,commit_date,committer,author,change_summary
0,1ff2fd53c93431e9a9f0309ddfd8ca75a034e346,2020-09-16T08:20:54,-4751162634521490753,4566494982102741300,"{'.gitignore': {'change_type': 'A', 'insertions': '129', 'deletions': '0'}, 'LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}}"
1,5d4361ea9721210f760cc7bb942d3aa0050f2547,2020-09-21T18:26:28,4566494982102741300,4566494982102741300,"{'.gitignore': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}}"
2,fb102beca95377cd4ebdd83c450dd884cef50f5f,2020-09-21T18:27:33,4566494982102741300,4566494982102741300,"{'server/plugins/__init__.py': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'server/plugins/ldap.py': {'change_type': 'A', 'insertions': '101', 'deletions': '0'}}"
3,92e6a56ac79927fc488f14168621824451a6b589,2020-09-21T18:31:06,4566494982102741300,4566494982102741300,"{'server/plugins/ldap.py': {'change_type': 'M', 'insertions': '10', 'deletions': '0'}}"
4,718eeab39b0c395874913fefdef4cba550788014,2020-09-21T18:34:26,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'A', 'insertions': '474', 'deletions': '0'}}"
5,248bdc16d65a1c14f32abac26edd740e7d003b71,2020-09-21T18:44:06,4566494982102741300,4566494982102741300,"{'server/plugins/configuration.py': {'change_type': 'A', 'insertions': '111', 'deletions': '0'}}"
6,b503a16a7126e5454bd5f4edfcb3cd5357edd331,2020-09-21T18:48:34,4566494982102741300,4566494982102741300,"{'server/plugins/configuration.py': {'change_type': 'M', 'insertions': '0', 'deletions': '13'}, 'server/plugins/repositories.py': {'change_type': 'A', 'insertions': '68', 'deletions': '0'}}"
7,241ffc1f982c74b02f596e3297abb674b47e9d50,2020-09-22T12:57:44,4566494982102741300,4566494982102741300,"{'server/plugins/configuration.py': {'change_type': 'M', 'insertions': '3', 'deletions': '2'}}"
8,358e18550ed985e2083fe53a788efbb1a75b5ee1,2020-09-22T12:58:00,4566494982102741300,4566494982102741300,"{'server/plugins/basetypes.py': {'change_type': 'A', 'insertions': '24', 'deletions': '0'}}"
9,f6684a99d4e84ebc6d38927f33a2af3d51a608ed,2020-09-22T12:58:41,4566494982102741300,4566494982102741300,"{'server/plugins/database.py': {'change_type': 'A', 'insertions': '39', 'deletions': '0'}}"
10,24ad5268bf9ed9ba819dfa6c0bc4105431247761,2020-09-22T12:59:10,4566494982102741300,4566494982102741300,"{'server/plugins/projects.py': {'change_type': 'A', 'insertions': '146', 'deletions': '0'}}"
11,5cda6162b71413205df8b8c4679e3b1825137b29,2020-09-22T13:00:44,4566494982102741300,4566494982102741300,"{'server/boxer.yaml': {'change_type': 'A', 'insertions': '34', 'deletions': '0'}}"
12,8d236dd9794b7292fa90d1103e47c5ee3ae0fc2a,2020-09-22T13:01:01,4566494982102741300,4566494982102741300,"{'server/plugins/formdata.py': {'change_type': 'A', 'insertions': '65', 'deletions': '0'}}"
13,61ee187c4901623d2003f9ec4e5536519a56be62,2020-09-22T13:03:59,4566494982102741300,4566494982102741300,"{'server/main.py': {'change_type': 'A', 'insertions': '189', 'deletions': '0'}}"
14,25c22bbd9ea6ae0afd8684863a53146be07928ce,2020-09-22T13:05:02,4566494982102741300,4566494982102741300,"{'server/plugins/session.py': {'change_type': 'A', 'insertions': '236', 'deletions': '0'}}"
15,f17bcee7c9a77bfecbd72bb047832168bec4b7df,2020-09-22T13:05:21,4566494982102741300,4566494982102741300,"{'requirements.txt': {'change_type': 'A', 'insertions': '10', 'deletions': '0'}}"
16,e6f45c161e71c840876552f21ba429d39b6881f0,2020-09-22T13:06:35,4566494982102741300,4566494982102741300,"{'.gitignore': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}}"
17,f9849e9738a3eeaa8b86cfa15d32d05109816cde,2020-09-22T13:07:23,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'A', 'insertions': '117', 'deletions': '0'}}"
18,971eeba39f4bd0fbbbf6e513025c2b9a3c297d38,2021-04-13T17:09:27,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'M', 'insertions': '36', 'deletions': '6'}}"
19,4fb5aaed1ea7928049856b8780b8a6f13ea5e889,2021-04-13T17:17:00,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
20,8f71786f840f1d5b69c01ab28cb84496c02dd7e6,2021-04-13T18:23:39,4566494982102741300,4566494982102741300,"{'server/plugins/repositories.py': {'change_type': 'M', 'insertions': '13', 'deletions': '6'}}"
21,04f45f9a4903166593e196a87ece14b49ca4d14c,2021-04-13T18:25:14,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'M', 'insertions': '3', 'deletions': '1'}, 'server/plugins/configuration.py': {'change_type': 'M', 'insertions': '2', 'deletions': '0'}}"
22,837117d820de276da565623bb5ba2f930857a374,2021-04-13T18:32:40,4566494982102741300,4566494982102741300,"{'server/plugins/projects.py': {'change_type': 'M', 'insertions': '17', 'deletions': '10'}}"
23,0ee88fd38591137e7395df4918f60fb51444a100,2021-04-13T18:41:45,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
24,a69a5f124707b0cdf4a1ef7115f853c19c98cc5b,2021-04-13T18:42:02,4566494982102741300,4566494982102741300,"{'server/plugins/projects.py': {'change_type': 'M', 'insertions': '10', 'deletions': '19'}}"
25,35fc1e72c3a65372923f40a821f302678e40f027,2021-04-13T18:47:03,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'M', 'insertions': '2', 'deletions': '3'}}"
26,a77157f01b3f4b14382a26590ee77976e9096e07,2021-04-13T18:52:29,4566494982102741300,4566494982102741300,"{'server/plugins/session.py': {'change_type': 'M', 'insertions': '1', 'deletions': '105'}}"
27,1fcf6a98d97dd7c285f264995ad8a34cb3d85366,2021-04-13T18:58:25,4566494982102741300,4566494982102741300,"{'server/plugins/configuration.py': {'change_type': 'M', 'insertions': '24', 'deletions': '52'}}"
28,92519e54024c8490831bc45e010354473e47e64f,2021-04-13T19:01:53,4566494982102741300,4566494982102741300,"{'server/plugins/configuration.py': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
29,71b98375d22faf2013e06fe3f38e86e04a9d0df4,2021-04-13T19:02:08,4566494982102741300,4566494982102741300,"{'server/main.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}}"
30,29b0c82851987b2fda95a30be2111a7f1da40f84,2021-04-13T19:07:51,4566494982102741300,4566494982102741300,"{'server/main.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
31,a852185ec919f7d06ba11104e5635ecad08bbe77,2021-04-13T21:37:13,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}}"
32,4de636f6499b8a350713a58b394cbd56ea98955e,2021-04-13T21:40:26,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}, 'server/plugins/projects.py': {'change_type': 'M', 'insertions': '0', 'deletions': '1'}}"
33,1eddeacc0c4b02f23c1e34d0756e2997a22ce1b4,2021-04-13T21:58:59,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'M', 'insertions': '23', 'deletions': '5'}}"
34,8ec5a643abbfa93c405cc17c07195723cc8dc5c7,2021-04-14T14:04:52,4566494982102741300,4566494982102741300,"{'server/plugins/ldap.py': {'change_type': 'M', 'insertions': '28', 'deletions': '5'}}"
35,82bf8d595055eabdc2a62ffbe1b43229ea4c96b8,2021-04-14T14:05:52,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'M', 'insertions': '40', 'deletions': '9'}}"
36,141fb5beed955a68a70ad8039252831cfa253076,2021-04-14T14:06:24,4566494982102741300,4566494982102741300,"{'server/plugins/projects.py': {'change_type': 'M', 'insertions': '7', 'deletions': '2'}}"
37,d3d867cfc3944df60281a4e5fe4f67d0c1e51f0d,2021-04-14T14:06:53,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'M', 'insertions': '29', 'deletions': '8'}}"
38,75140a14b6536b68ec70a4f7d319a11c37a29562,2021-04-14T14:29:33,4566494982102741300,4566494982102741300,"{'server/plugins/ldap.py': {'change_type': 'M', 'insertions': '3', 'deletions': '3'}}"
39,911cb1a97d9b4a5f730476201915bb1f526c8b3b,2021-04-14T17:56:31,4566494982102741300,4566494982102741300,"{'server/plugins/github.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
40,e17f198ef2a6701261d1e3ece5650b84dbb4549a,2021-04-14T17:58:16,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'M', 'insertions': '21', 'deletions': '0'}}"
41,02a5df3a917eda623d48e21957ac8a6f9fac78bb,2021-04-14T18:05:29,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'M', 'insertions': '71', 'deletions': '60'}}"
42,dbab39c97bf10cb0eb02956644daae722deb60e4,2021-04-14T18:05:42,4566494982102741300,4566494982102741300,"{'server/plugins/configuration.py': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
43,a903789303e5826c2f65159738fc835d44d2e912,2021-04-14T18:08:17,4566494982102741300,4566494982102741300,"{'server/plugins/background.py': {'change_type': 'M', 'insertions': '22', 'deletions': '23'}}"
