,hexsha,commit_date,committer,author,change_summary
0,b63715346b8704bdd4a85bec80640fbd87e8c6b4,2024-03-15T19:42:39,-558573846292081380,-558573846292081380,"{'.gitignore': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'Pipfile': {'change_type': 'A', 'insertions': '13', 'deletions': '0'}, 'Pipfile.lock': {'change_type': 'A', 'insertions': '610', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '11', 'deletions': '0'}, 'gha_policy_scanner.py': {'change_type': 'A', 'insertions': '225', 'deletions': '0'}}"
1,1696509c2f34f17fa3aa61132c516ae4fece1e26,2024-03-18T12:35:18,-558573846292081380,-558573846292081380,"{'.gitignore': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '70', 'deletions': '46'}}"
2,0515b6cf995cdaec0382e9bbf1dac32b6ad8bbdc,2024-03-22T19:37:56,-558573846292081380,-558573846292081380,"{'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '29', 'deletions': '22'}}"
3,ab9674bb83c88408c5534ee80457bd027e3ce9c9,2024-03-25T13:03:18,-558573846292081380,-558573846292081380,"{'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '16', 'deletions': '13'}}"
4,44f5e798bf6df286db96c14a720ada6597b234ec,2024-03-25T20:03:06,-558573846292081380,-558573846292081380,"{'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '16', 'deletions': '15'}}"
5,40ff21526d7bd7f9d8343806b2d2ce6366eaf920,2024-03-26T15:44:54,-558573846292081380,-558573846292081380,"{'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '24', 'deletions': '17'}}"
6,eaf7190c820fce4e08a716fb89338a6c636c109c,2024-03-27T13:16:11,-558573846292081380,-558573846292081380,"{'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '27', 'deletions': '34'}}"
7,7f02f06e7bb44a2c67e717b89cdf9d838030fd6b,2024-03-27T16:24:16,-558573846292081380,-558573846292081380,"{'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '5', 'deletions': '3'}}"
8,d8e68092a922730001569e40bc27a12af5a501a4,2024-03-27T16:31:16,-558573846292081380,-558573846292081380,"{'gha_policy_scanner.py': {'change_type': 'M', 'insertions': '14', 'deletions': '15'}}"
9,6474ccd6b8047704a409be962138f567d1b56471,2024-03-29T11:37:46,-558573846292081380,-558573846292081380,"{'Pipfile': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}, 'Pipfile.lock': {'change_type': 'M', 'insertions': '50', 'deletions': '1'}, 'gha_scanner/__init__.py': {'change_type': 'A', 'insertions': '159', 'deletions': '0'}, 'gha_scanner/checks.py': {'change_type': 'A', 'insertions': '73', 'deletions': '0'}, 'policy-scanner.py': {'change_type': 'A', 'insertions': '65', 'deletions': '0'}, 'tests/__init__.py': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'tests/__pycache__/__init__.cpython-310.pyc': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'tests/__pycache__/data.cpython-310.pyc': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'tests/data.py': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'tests/scantest.py': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}}"
