,hexsha,commit_date,committer,author,change_summary
0,7248f00c40aca26b289a05dda315176317545511,2016-08-13T05:47:03,-5184332377738946894,-5184332377738946894,"{'.gitignore': {'change_type': 'A', 'insertions': '89', 'deletions': '0'}, 'LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}}"
1,a431542d0b035232a8572f7bcd7e1a82365344ac,2016-08-13T07:14:49,-5184332377738946894,-5184332377738946894,"{'importer.py': {'change_type': 'A', 'insertions': '143', 'deletions': '0'}, 'main.py': {'change_type': 'A', 'insertions': '59', 'deletions': '0'}, 'project.py': {'change_type': 'A', 'insertions': '143', 'deletions': '0'}}"
2,a5ee58dfbd3c5994ebb7832cf3f686f7f58e3cec,2017-03-05T17:27:27,-5184332377738946894,-5184332377738946894,"{'README.md': {'change_type': 'M', 'insertions': '76', 'deletions': '2'}, 'importer.py': {'change_type': 'M', 'insertions': '283', 'deletions': '143'}, 'main.py': {'change_type': 'M', 'insertions': '26', 'deletions': '34'}, 'project.py': {'change_type': 'M', 'insertions': '80', 'deletions': '63'}}"
3,c275dc1b991f4a0a9a357f1db17534b58112c305,2017-03-05T17:32:53,-4751162634521490753,-5184332377738946894,"{'README.md': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
4,612c59fd5e520dbc2fa00ac3e69a818ed3c77d4a,2017-03-05T21:57:46,-4751162634521490753,-5184332377738946894,"{'README.md': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
5,e01aa0b268343b2a9bde4a8346ab133ba1e5f5ef,2017-03-11T16:37:50,-5184332377738946894,-5184332377738946894,"{'importer.py': {'change_type': 'M', 'insertions': '0', 'deletions': '13'}, 'main.py': {'change_type': 'M', 'insertions': '0', 'deletions': '6'}, 'project.py': {'change_type': 'M', 'insertions': '0', 'deletions': '3'}}"
6,acc468dd5c4c3a9f5174d17d22d7254796ca6b01,2017-03-11T16:43:28,-5184332377738946894,-5184332377738946894,"{'README.md': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}}"
7,1a80b378d4f3e26e299595817d01aa1795eb9937,2017-03-11T21:35:37,-4751162634521490753,-5184332377738946894,"{'README.md': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}}"
8,685e2487c76f4ea607611817d14c33add1aee5a3,2017-05-08T16:49:13,456552743392067626,456552743392067626,"{'project.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}}"
9,6b601786c1b2edd3a112f9235359d7e49198bcf6,2018-07-25T11:04:13,-6510920351407208227,-6510920351407208227,"{'README.md': {'change_type': 'M', 'insertions': '6', 'deletions': '6'}, 'requirements.txt': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}}"
10,37d475c173c65eb24d099c64fbab181f45ea20af,2019-03-02T05:24:48,-4751162634521490753,-2318408201956654729,"{'project.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}}"
11,edc9c519a855d0dd3a0d392792b7fa39594e485d,2019-03-02T05:25:02,-4751162634521490753,-2318408201956654729,"{'README.md': {'change_type': 'M', 'insertions': '6', 'deletions': '6'}, 'requirements.txt': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}}"
12,49535264544d67491665db1b8a8d44ecf2cec569,2019-03-03T12:09:14,-2318408201956654729,-2318408201956654729,"{'README.md': {'change_type': 'M', 'insertions': '2', 'deletions': '4'}, 'importer.py': {'change_type': 'M', 'insertions': '280', 'deletions': '260'}, 'labelcolourselector.py': {'change_type': 'A', 'insertions': '9', 'deletions': '0'}, 'main.py': {'change_type': 'M', 'insertions': '20', 'deletions': '15'}, 'project.py': {'change_type': 'M', 'insertions': '165', 'deletions': '151'}, 'requirements.txt': {'change_type': 'M', 'insertions': '3', 'deletions': '3'}}"
13,4203cd923f3ddeb630d51bc0f78384c220caef1c,2019-03-04T03:11:57,-2318408201956654729,-2318408201956654729,"{'.gitignore': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}, 'README.md': {'change_type': 'M', 'insertions': '7', 'deletions': '2'}, 'importer.py': {'change_type': 'M', 'insertions': '56', 'deletions': '22'}, 'main.py': {'change_type': 'M', 'insertions': '20', 'deletions': '11'}, 'project.py': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
14,ae978bb47657442c14ee416b96063092b31df6a5,2021-01-17T02:17:38,6107979304240052593,6107979304240052593,"{'importer.py': {'change_type': 'M', 'insertions': '12', 'deletions': '8'}, 'project.py': {'change_type': 'M', 'insertions': '25', 'deletions': '12'}}"
15,84efbf418d5d2106bc6bf0e9201bc0b548bc9700,2021-02-12T14:52:31,-4668824166572684668,-4668824166572684668,"{'README.md': {'change_type': 'M', 'insertions': '5', 'deletions': '4'}, 'importer.py': {'change_type': 'M', 'insertions': '21', 'deletions': '19'}, 'main.py': {'change_type': 'M', 'insertions': '4', 'deletions': '5'}}"
16,46bdeb089ad5d412c93044d39b89236a7788934a,2021-02-12T14:53:11,-4668824166572684668,-4668824166572684668,"{'importer.py': {'change_type': 'M', 'insertions': '4', 'deletions': '7'}}"
17,951031cf74ebf96430071619c8101c913b2089d3,2021-02-12T14:53:46,-4668824166572684668,-4668824166572684668,"{'requirements.txt': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
18,e2bea57ffcd1385e7b98e439568e8bc8e93fe539,2021-02-12T14:54:16,-4668824166572684668,-4668824166572684668,"{'importer.py': {'change_type': 'M', 'insertions': '14', 'deletions': '14'}, 'project.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
19,b75824ff4037097a3961991b13461343d0cc7739,2021-02-12T15:06:15,-4668824166572684668,-4668824166572684668,"{'README.md': {'change_type': 'M', 'insertions': '4', 'deletions': '0'}}"
20,4e15c60d0e498733d17cf48631f9f780976a3253,2021-02-12T15:37:57,-4668824166572684668,-4668824166572684668,"{'main.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
21,a9d681f9218dfe72fdd1b1f2aa6a3eabfd04e9d6,2021-02-12T15:38:23,-4668824166572684668,-4668824166572684668,"{'.gitignore': {'change_type': 'M', 'insertions': '2', 'deletions': '0'}}"
22,2355243271dcd87d7e30fc1547bdeafbc7fabbd2,2021-02-12T19:28:56,-4668824166572684668,-4668824166572684668,"{'importer.py': {'change_type': 'M', 'insertions': '53', 'deletions': '53'}, 'main.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
23,76edf27478d90e7364fb2997bbbf91aecf02dbab,2021-02-12T19:28:56,-4668824166572684668,-4668824166572684668,"{'project.py': {'change_type': 'M', 'insertions': '26', 'deletions': '0'}}"
24,2355243271dcd87d7e30fc1547bdeafbc7fabbd2,2021-02-12T19:28:56,-4668824166572684668,-4668824166572684668,"{'importer.py': {'change_type': 'M', 'insertions': '53', 'deletions': '53'}, 'main.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
25,76edf27478d90e7364fb2997bbbf91aecf02dbab,2021-02-12T19:28:56,-4668824166572684668,-4668824166572684668,"{'project.py': {'change_type': 'M', 'insertions': '26', 'deletions': '0'}}"
26,113f3f06fedb3abd7952972b08a1b31120fe814e,2021-03-15T19:34:25,-4668824166572684668,-4668824166572684668,"{'main.py': {'change_type': 'M', 'insertions': '3', 'deletions': '3'}}"
