,hexsha,commit_date,committer,author,change_summary
0,83c334bf68fe9f97f0545be0a1bce6df2faa3abd,2021-06-09T08:36:18,-4751162634521490753,2897761877270117499,"{'README.md': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}}"
1,6a539bd5585aa3ccddc18d1958f86e2a704baa36,2021-06-10T01:45:42,2897761877270117499,2897761877270117499,"{'bin/build-cmark.sh': {'change_type': 'A', 'insertions': '54', 'deletions': '0'}, 'bin/pelican-build.py': {'change_type': 'A', 'insertions': '209', 'deletions': '0'}, 'gfm.py': {'change_type': 'A', 'insertions': '237', 'deletions': '0'}}"
2,2a1e9112a4b06297e410136a60f491db7aaa6105,2021-06-10T01:53:54,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'A', 'insertions': '209', 'deletions': '0'}, 'bin/pelican-build.py': {'change_type': 'D', 'insertions': '0', 'deletions': '209'}}"
3,f06c32c530645293adbf9a9126dea4c04cb56b10,2021-06-10T01:54:52,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '0', 'deletions': '0'}}"
4,c241df2adf2adf50f25c60c6823f9017b300d95d,2021-06-10T03:34:49,2897761877270117499,2897761877270117499,"{'plugins/asfgenid.py': {'change_type': 'A', 'insertions': '389', 'deletions': '0'}, 'plugins/asfreader.py': {'change_type': 'A', 'insertions': '120', 'deletions': '0'}, 'plugins/toc.py': {'change_type': 'A', 'insertions': '151', 'deletions': '0'}}"
5,1c2d77c73a43e2d5369f234d6a86621d2a0a8178,2021-06-10T07:35:28,2897761877270117499,2897761877270117499,"{'devtest/grab.sh': {'change_type': 'A', 'insertions': '48', 'deletions': '0'}}"
6,f04dfaf99271178478b33766f7e0bdb87ea32c34,2021-06-10T07:59:41,2897761877270117499,2897761877270117499,"{'bin/build-cmark.sh': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}}"
7,e1f8b790507501e440f879cb54aa8352495bacc7,2021-06-10T08:12:39,-4751162634521490753,2897761877270117499,"{'README.md': {'change_type': 'M', 'insertions': '28', 'deletions': '0'}}"
8,5f6affe38668678ec6893e3a4468b4b874884733,2021-06-14T14:10:19,2897761877270117499,2897761877270117499,"{'bin/kick_build.py': {'change_type': 'A', 'insertions': '84', 'deletions': '0'}}"
9,5712b2a4e26a208cebdd95d866cffef2bb7580c8,2021-06-14T14:14:43,-4751162634521490753,2897761877270117499,"{'README.md': {'change_type': 'M', 'insertions': '5', 'deletions': '1'}}"
10,802c289d72fcda14107443756554bf3abc74f8a4,2021-06-14T21:59:21,-4751162634521490753,2897761877270117499,"{'requirements.txt': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}}"
11,3819d883b6f1bdd03ce66b98811a3ce52e616cc7,2021-06-14T22:03:58,-4751162634521490753,2897761877270117499,"{'plugins/README.md': {'change_type': 'A', 'insertions': '13', 'deletions': '0'}}"
12,0a7a5e86b4840d493d4d79b3bd781c9e5785355a,2021-06-14T22:08:08,2897761877270117499,2897761877270117499,"{'LICENSE': {'change_type': 'A', 'insertions': '202', 'deletions': '0'}}"
13,4baada3f5f2da0e13ab5a92488d92fcfad21c856,2021-06-14T22:08:21,2897761877270117499,2897761877270117499,"{'README.md': {'change_type': 'M', 'insertions': '5', 'deletions': '1'}, 'plugins/README.md': {'change_type': 'A', 'insertions': '13', 'deletions': '0'}, 'requirements.txt': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}}"
14,e058c823af607fa1269ad275a5261180270826ad,2021-06-14T22:08:34,2897761877270117499,2897761877270117499,"{'.gitignore': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}}"
15,88b7aa2b12c81de8d0b7e32d1a905697ab49d91f,2021-06-16T12:53:31,-4751162634521490753,-103925245058102216,"{'plugins/README.md': {'change_type': 'M', 'insertions': '6', 'deletions': '3'}}"
16,4c9d09cd43e0c146e6da6ff007a05286c713defd,2021-06-16T13:14:00,-3798661170489068620,-3798661170489068620,"{'gfm.py': {'change_type': 'D', 'insertions': '0', 'deletions': '237'}, 'plugins/pelican-gfm/__init__.py': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}, 'plugins/pelican-gfm/gfm.py': {'change_type': 'A', 'insertions': '237', 'deletions': '0'}}"
17,757fab7ebd6d52adeb6b26365ac5de2751cef977,2021-06-16T13:23:03,4587771135717644479,4587771135717644479,"{'bin/build-cmark.sh': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
18,4028961155b6d5f6c83dff4b98cf3ef117948aa9,2021-06-16T13:54:15,-4751162634521490753,1785539100590349909,"{'bin/kick_build.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
19,cda2b610e1c1a77df769e3d900bfb0afbafcfe4a,2021-06-16T16:19:08,-4751162634521490753,1785539100590349909,"{'bin/kick_build.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
20,9a0569c71ed9f422e91bdd95bb8019829c9286c1,2021-06-16T16:45:37,-3798661170489068620,-3798661170489068620,"{'gfm.py': {'change_type': 'A', 'insertions': '237', 'deletions': '0'}, 'plugins/pelican-gfm/__init__.py': {'change_type': 'D', 'insertions': '0', 'deletions': '3'}, 'plugins/pelican-gfm/gfm.py': {'change_type': 'D', 'insertions': '0', 'deletions': '237'}}"
21,7f83ea647b475c6643cac02933691b2dcab77919,2021-06-16T16:48:40,-3798661170489068620,-3798661170489068620,"{'bin/build-cmark.sh': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'bin/kick_build.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
22,3f86874d7773f0062a7ef863acfdbf8715d3b81b,2021-06-22T08:26:12,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '57', 'deletions': '20'}, 'bin/pelican.auto.ezt': {'change_type': 'A', 'insertions': '29', 'deletions': '0'}}"
23,eb439f49631df139b6cd5c9e50292c8e32f390a6,2021-06-22T08:35:46,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '0', 'deletions': '1'}, 'gfm.py': {'change_type': 'D', 'insertions': '0', 'deletions': '237'}, 'plugins/gfm.py': {'change_type': 'A', 'insertions': '237', 'deletions': '0'}}"
24,c4fa6e68a01a083d04bdae2e6c94f4ef492c20f9,2021-06-22T08:52:24,2897761877270117499,2897761877270117499,"{'devtest/grab.sh': {'change_type': 'M', 'insertions': '4', 'deletions': '0'}}"
25,343fb8780747aa383db42d6370808a60ff8191fe,2021-06-24T06:13:27,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '21', 'deletions': '0'}, 'bin/pelican.auto.ezt': {'change_type': 'M', 'insertions': '24', 'deletions': '0'}}"
26,d8753c88c8e595efaaca674e40cb8a5b0d2de746,2021-06-24T06:18:59,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}}"
27,9a61c077be8c2d9759b9c7cc6fdd96a2e8bb3d33,2021-06-24T06:30:43,2897761877270117499,2897761877270117499,"{'plugins/asfreader.py': {'change_type': 'M', 'insertions': '5', 'deletions': '2'}}"
28,a9f453c320a6bef5920f51a8ce808443c54f1e20,2021-06-24T06:56:09,2897761877270117499,2897761877270117499,"{'bin/pelican.auto.ezt': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}}"
29,6f4dcd398c012fc93acb8fdd11d5ec31674c4b4d,2021-06-25T21:27:49,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'bin/pelican.auto.ezt': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
30,200a555ad0a8388d766b7e9d21e43d0f5904ccda,2021-06-26T01:04:57,2897761877270117499,2897761877270117499,"{'bin/pelican.auto.ezt': {'change_type': 'M', 'insertions': '0', 'deletions': '1'}}"
31,8f5f27eeb0f86f421c88f3a745746ddbb911d6c3,2021-06-26T06:22:02,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '3', 'deletions': '10'}}"
32,ff02398477225e35016097125303ad2a932ddaf9,2021-06-26T06:31:41,2897761877270117499,2897761877270117499,"{'bin/pelican.auto.ezt': {'change_type': 'M', 'insertions': '18', 'deletions': '5'}}"
33,1f32e373dec660b8a3df201a5094ed146bac819a,2021-06-28T05:48:31,2897761877270117499,2897761877270117499,"{'devtest/compare.sh': {'change_type': 'A', 'insertions': '33', 'deletions': '0'}}"
34,30b3e110cd23bca3da84f8cf564257fada6d09f5,2021-07-01T20:13:49,-3798661170489068620,-3798661170489068620,"{'bin/pelican.auto.ezt': {'change_type': 'M', 'insertions': '6', 'deletions': '0'}}"
35,327cbd5e26d87e3dcf46382a4f8f27ea4a2818f6,2021-07-01T21:32:23,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '15', 'deletions': '10'}}"
36,bf6847ead504857d56c15419e6ab6233ab4ac84e,2021-07-01T21:36:29,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '6', 'deletions': '4'}}"
37,7286bcc2d9a8e76e0e1085318c89642afc7a20c4,2021-07-01T21:51:48,2897761877270117499,2897761877270117499,"{'bin/buildsite.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
