,hexsha,commit_date,committer,author,change_summary
0,204b7855d7beb94977e5d64306bc53c68279b96c,2017-09-25T17:01:00,4566494982102741300,4566494982102741300,"{'api/.gitignore': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'api/handler.py': {'change_type': 'A', 'insertions': '187', 'deletions': '0'}, 'api/pages/__init__.py': {'change_type': 'A', 'insertions': '47', 'deletions': '0'}, 'api/pages/account.py': {'change_type': 'A', 'insertions': '84', 'deletions': '0'}, 'api/pages/code-changes.py': {'change_type': 'A', 'insertions': '129', 'deletions': '0'}, 'api/pages/code-evolution.py': {'change_type': 'A', 'insertions': '119', 'deletions': '0'}, 'api/pages/code-trends.py': {'change_type': 'A', 'insertions': '285', 'deletions': '0'}, 'api/pages/commits.py': {'change_type': 'A', 'insertions': '115', 'deletions': '0'}, 'api/pages/committers.py': {'change_type': 'A', 'insertions': '169', 'deletions': '0'}, 'api/pages/filters.py': {'change_type': 'A', 'insertions': '65', 'deletions': '0'}, 'api/pages/oauth.py': {'change_type': 'A', 'insertions': '95', 'deletions': '0'}, 'api/pages/session.py': {'change_type': 'A', 'insertions': '92', 'deletions': '0'}, 'api/pages/sloc.py': {'change_type': 'A', 'insertions': '87', 'deletions': '0'}, 'api/pages/sources.py': {'change_type': 'A', 'insertions': '83', 'deletions': '0'}, 'api/pages/top-commits.py': {'change_type': 'A', 'insertions': '112', 'deletions': '0'}, 'api/pages/top-sloc.py': {'change_type': 'A', 'insertions': '100', 'deletions': '0'}, 'api/pages/views.py': {'change_type': 'A', 'insertions': '67', 'deletions': '0'}, 'api/pages/widgets.py': {'change_type': 'A', 'insertions': '38', 'deletions': '0'}, 'api/plugins/database.py': {'change_type': 'A', 'insertions': '44', 'deletions': '0'}, 'api/plugins/openapi.py': {'change_type': 'A', 'insertions': '150', 'deletions': '0'}, 'api/plugins/session.py': {'change_type': 'A', 'insertions': '99', 'deletions': '0'}, 'api/yaml/kibble.yaml': {'change_type': 'A', 'insertions': '20', 'deletions': '0'}, 'api/yaml/openapi.yaml': {'change_type': 'A', 'insertions': '817', 'deletions': '0'}, 'api/yaml/widgets.yaml': {'change_type': 'A', 'insertions': '105', 'deletions': '0'}, 'ui/css/c3.css': {'change_type': 'A', 'insertions': '261', 'deletions': '0'}, 'ui/css/daterangepicker.css': {'change_type': 'A', 'insertions': '232', 'deletions': '0'}, 'ui/css/kibble.min.css': {'change_type': 'A', 'insertions': '2800', 'deletions': '0'}, 'ui/css/main.css': {'change_type': 'A', 'insertions': '2535', 'deletions': '0'}, 'ui/css/theme.css': {'change_type': 'A', 'insertions': '27', 'deletions': '0'}, 'ui/dashboard.html': {'change_type': 'A', 'insertions': '94', 'deletions': '0'}, 'ui/images/background.png': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/images/favicon.png': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/images/kibble-favicon.png': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/images/kibble-logo-white.png': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/images/kibble-logo.png': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/js/app.js': {'change_type': 'A', 'insertions': '1085', 'deletions': '0'}, 'ui/js/c3.min.js': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'ui/js/coffee/account.coffee': {'change_type': 'A', 'insertions': '86', 'deletions': '0'}, 'ui/js/coffee/charts_donut.coffee': {'change_type': 'A', 'insertions': '38', 'deletions': '0'}, 'ui/js/coffee/charts_linechart.coffee': {'change_type': 'A', 'insertions': '102', 'deletions': '0'}, 'ui/js/coffee/charts_radar.coffee': {'change_type': 'A', 'insertions': '250', 'deletions': '0'}, 'ui/js/coffee/charts_wrapper.coffee': {'change_type': 'A', 'insertions': '289', 'deletions': '0'}, 'ui/js/coffee/colors.coffee': {'change_type': 'A', 'insertions': '114', 'deletions': '0'}, 'ui/js/coffee/combine.sh': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}, 'ui/js/coffee/datepicker.coffee': {'change_type': 'A', 'insertions': '107', 'deletions': '0'}, 'ui/js/coffee/error_modal.coffee': {'change_type': 'A', 'insertions': '17', 'deletions': '0'}, 'ui/js/coffee/explorer.coffee': {'change_type': 'A', 'insertions': '493', 'deletions': '0'}, 'ui/js/coffee/kibble_account.coffee': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'ui/js/coffee/misc.coffee': {'change_type': 'A', 'insertions': '476', 'deletions': '0'}, 'ui/js/coffee/pageloader.coffee': {'change_type': 'A', 'insertions': '199', 'deletions': '0'}, 'ui/js/coffee/phonebook.coffee': {'change_type': 'A', 'insertions': '135', 'deletions': '0'}, 'ui/js/coffee/sources.coffee': {'change_type': 'A', 'insertions': '432', 'deletions': '0'}, 'ui/js/coffee/widget.coffee': {'change_type': 'A', 'insertions': '299', 'deletions': '0'}, 'ui/js/coffee/widget_admin.coffee': {'change_type': 'A', 'insertions': '113', 'deletions': '0'}, 'ui/js/coffee/widget_affiliations.coffee': {'change_type': 'A', 'insertions': '181', 'deletions': '0'}, 'ui/js/coffee/widget_bio.coffee': {'change_type': 'A', 'insertions': '64', 'deletions': '0'}, 'ui/js/coffee/widget_comstat.coffee': {'change_type': 'A', 'insertions': '199', 'deletions': '0'}, 'ui/js/coffee/widget_donut.coffee': {'change_type': 'A', 'insertions': '81', 'deletions': '0'}, 'ui/js/coffee/widget_linechart.coffee': {'change_type': 'A', 'insertions': '171', 'deletions': '0'}, 'ui/js/coffee/widget_map.coffee': {'change_type': 'A', 'insertions': '82', 'deletions': '0'}, 'ui/js/coffee/widget_messages.coffee': {'change_type': 'A', 'insertions': '161', 'deletions': '0'}, 'ui/js/coffee/widget_mvp.coffee': {'change_type': 'A', 'insertions': '71', 'deletions': '0'}, 'ui/js/coffee/widget_paragraph.coffee': {'change_type': 'A', 'insertions': '17', 'deletions': '0'}, 'ui/js/coffee/widget_preferences.coffee': {'change_type': 'A', 'insertions': '84', 'deletions': '0'}, 'ui/js/coffee/widget_publisher.coffee': {'change_type': 'A', 'insertions': '55', 'deletions': '0'}, 'ui/js/coffee/widget_radar.coffee': {'change_type': 'A', 'insertions': '63', 'deletions': '0'}, 'ui/js/coffee/widget_relation.coffee': {'change_type': 'A', 'insertions': '151', 'deletions': '0'}, 'ui/js/coffee/widget_report.coffee': {'change_type': 'A', 'insertions': '158', 'deletions': '0'}, 'ui/js/coffee/widget_top5.coffee': {'change_type': 'A', 'insertions': '175', 'deletions': '0'}, 'ui/js/coffee/widget_treemap.coffee': {'change_type': 'A', 'insertions': '125', 'deletions': '0'}, 'ui/js/coffee/widget_trend.coffee': {'change_type': 'A', 'insertions': '62', 'deletions': '0'}, 'ui/js/coffee/widget_views.coffee': {'change_type': 'A', 'insertions': '235', 'deletions': '0'}, 'ui/js/core.js': {'change_type': 'A', 'insertions': '205', 'deletions': '0'}, 'ui/js/d3.min.js': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'ui/js/datepicker/daterangepicker.js': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'ui/js/kibble.v1.js': {'change_type': 'A', 'insertions': '6479', 'deletions': '0'}, 'ui/js/moment/moment.min.js': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'ui/login.html': {'change_type': 'A', 'insertions': '147', 'deletions': '0'}, 'ui/vendors/font-awesome/css/font-awesome.css': {'change_type': 'A', 'insertions': '2178', 'deletions': '0'}, 'ui/vendors/font-awesome/css/font-awesome.min.css': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'ui/vendors/font-awesome/fonts/FontAwesome.otf': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/vendors/font-awesome/fonts/fontawesome-webfont.eot': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/vendors/font-awesome/fonts/fontawesome-webfont.svg': {'change_type': 'A', 'insertions': '685', 'deletions': '0'}, 'ui/vendors/font-awesome/fonts/fontawesome-webfont.ttf': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/vendors/font-awesome/fonts/fontawesome-webfont.woff': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}, 'ui/vendors/font-awesome/fonts/fontawesome-webfont.woff2': {'change_type': 'A', 'insertions': '-', 'deletions': '-'}}"
1,66e3e35cae6886e6d86f459a584a7cfcc95062ed,2017-09-26T08:48:48,4566494982102741300,4566494982102741300,"{'api/pages/widgets.py': {'change_type': 'M', 'insertions': '2', 'deletions': '0'}, 'api/yaml/widgets.yaml': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
2,bfb0a8e99ecfe49f9f37bb07418b6f3409efb92f,2017-09-26T08:50:34,4566494982102741300,4566494982102741300,"{'api/pages/widgets.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
3,38fd88322d71dd2af3def98c7e9a140043d6a740,2017-09-26T08:50:57,4566494982102741300,4566494982102741300,"{'api/handler.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
4,116e412803b82ab099188d8e9b2ad07745d3e813,2017-09-26T09:25:39,4566494982102741300,4566494982102741300,"{'LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '19', 'deletions': '0'}}"
5,08741cba569bd6df07fe329eafdd2f15c4b67f9c,2017-09-26T10:05:52,4566494982102741300,4566494982102741300,"{'api/pages/issue-trends.py': {'change_type': 'A', 'insertions': '294', 'deletions': '0'}, 'api/pages/issues.py': {'change_type': 'A', 'insertions': '168', 'deletions': '0'}, 'api/yaml/openapi.yaml': {'change_type': 'M', 'insertions': '76', 'deletions': '0'}, 'api/yaml/widgets.yaml': {'change_type': 'M', 'insertions': '40', 'deletions': '0'}}"
6,f207c2ce192b147153d13557b8f4cd117bda9fcf,2017-09-26T10:07:37,4566494982102741300,4566494982102741300,"{'api/pages/__init__.py': {'change_type': 'M', 'insertions': '2', 'deletions': '0'}}"
7,e0b33621bb0d1e4aadc8af07b4869dc5dd56260d,2017-09-26T10:17:07,4566494982102741300,4566494982102741300,"{'api/pages/committers.py': {'change_type': 'M', 'insertions': '31', 'deletions': '4'}}"
8,e464e7fde52e77b59960ed9fc2b3a2758f7001e3,2017-09-26T11:43:47,4566494982102741300,4566494982102741300,"{'api/yaml/openapi.yaml': {'change_type': 'M', 'insertions': '73', 'deletions': '58'}}"
9,eb000a48a9dae54bb466155dee643375a5fe9723,2017-09-26T13:16:22,4566494982102741300,4566494982102741300,"{'api/pages/top-sloc.py': {'change_type': 'M', 'insertions': '0', 'deletions': '3'}}"
