,hexsha,commit_date,committer,author,change_summary
0,62f5ead34983bfba49fe04d176a10a3a0c65a21f,2020-11-14T10:36:40,7448356669090755350,7448356669090755350,"{'.gitignore': {'change_type': 'A', 'insertions': '6', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '75', 'deletions': '0'}, 'hunter.py': {'change_type': 'A', 'insertions': '55', 'deletions': '0'}, 'hunter/__init__.py': {'change_type': 'A', 'insertions': '0', 'deletions': '0'}, 'hunter/analysis.py': {'change_type': 'A', 'insertions': '60', 'deletions': '0'}, 'hunter/config.py': {'change_type': 'A', 'insertions': '43', 'deletions': '0'}, 'hunter/fallout.py': {'change_type': 'A', 'insertions': '107', 'deletions': '0'}, 'hunter/graphite.py': {'change_type': 'A', 'insertions': '63', 'deletions': '0'}, 'hunter/importer.py': {'change_type': 'A', 'insertions': '40', 'deletions': '0'}, 'hunter/util.py': {'change_type': 'A', 'insertions': '62', 'deletions': '0'}, 'resources/conf.yaml.template': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}}"
1,6d1a57ed0835c4ef5021d601836e91850d0ce839,2020-11-16T12:42:19,7448356669090755350,7448356669090755350,"{'hunter.py': {'change_type': 'M', 'insertions': '2', 'deletions': '4'}, 'hunter/analysis.py': {'change_type': 'M', 'insertions': '31', 'deletions': '9'}, 'hunter/graphite.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'hunter/util.py': {'change_type': 'M', 'insertions': '5', 'deletions': '0'}}"
2,5e216fb9090a252e750e48151dd851fb3e0d7e78,2020-11-16T15:35:55,7448356669090755350,7448356669090755350,"{'hunter.py': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'hunter/analysis.py': {'change_type': 'M', 'insertions': '13', 'deletions': '2'}, 'hunter/util.py': {'change_type': 'M', 'insertions': '12', 'deletions': '1'}}"
3,45bba6b3ca694b39e26bffef0ad78e110562b420,2020-11-17T11:00:13,7448356669090755350,7448356669090755350,"{'README.md': {'change_type': 'M', 'insertions': '6', 'deletions': '3'}, 'hunter.py': {'change_type': 'M', 'insertions': '28', 'deletions': '4'}, 'hunter/config.py': {'change_type': 'M', 'insertions': '11', 'deletions': '8'}, 'hunter/graphite.py': {'change_type': 'M', 'insertions': '5', 'deletions': '6'}, 'resources/conf.yaml.template': {'change_type': 'M', 'insertions': '12', 'deletions': '4'}}"
4,7904d9732a4f38a927a386ce52a3033873bf5c97,2020-11-17T11:56:01,-7457521367973378613,-7457521367973378613,"{'hunter/__init__.py': {'change_type': 'D', 'insertions': '0', 'deletions': '0'}}"
5,d0f1723b6203fd2660c5d71e32d9cbae4fac9cfd,2020-11-17T11:56:01,-7457521367973378613,-7457521367973378613,"{'.gitignore': {'change_type': 'M', 'insertions': '11', 'deletions': '3'}}"
6,7904d9732a4f38a927a386ce52a3033873bf5c97,2020-11-17T11:56:01,-7457521367973378613,-7457521367973378613,"{'hunter/__init__.py': {'change_type': 'D', 'insertions': '0', 'deletions': '0'}}"
7,d0f1723b6203fd2660c5d71e32d9cbae4fac9cfd,2020-11-17T11:56:01,-7457521367973378613,-7457521367973378613,"{'.gitignore': {'change_type': 'M', 'insertions': '11', 'deletions': '3'}}"
8,f2848ab980c52504ef9787e89da79cc32419a3fe,2020-11-17T11:59:46,-7457521367973378613,-7457521367973378613,"{'hunter.py': {'change_type': 'D', 'insertions': '0', 'deletions': '78'}, 'hunter/main.py': {'change_type': 'A', 'insertions': '85', 'deletions': '0'}}"
9,e0c703c0d185495255cceed741f2c333a9d4f97d,2020-11-17T12:32:35,-7457521367973378613,-7457521367973378613,"{'CONTRIBUTING.md': {'change_type': 'A', 'insertions': '19', 'deletions': '0'}, 'README.md': {'change_type': 'M', 'insertions': '18', 'deletions': '15'}, 'poetry.lock': {'change_type': 'A', 'insertions': '467', 'deletions': '0'}, 'pyproject.toml': {'change_type': 'A', 'insertions': '24', 'deletions': '0'}}"
