,hexsha,commit_date,committer,author,change_summary
0,9adca16aa399e610ea0250f4b3cabea292485465,2017-06-16T00:24:30,-4751162634521490753,8600411230958717209,"{'.gitignore': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'CMakeLists.txt': {'change_type': 'A', 'insertions': '29', 'deletions': '0'}, 'pulsar.py': {'change_type': 'A', 'insertions': '444', 'deletions': '0'}, 'pulsar_test.py': {'change_type': 'A', 'insertions': '122', 'deletions': '0'}, 'setup.py': {'change_type': 'A', 'insertions': '70', 'deletions': '0'}, 'src/authentication.cc': {'change_type': 'A', 'insertions': '29', 'deletions': '0'}, 'src/client.cc': {'change_type': 'A', 'insertions': '45', 'deletions': '0'}, 'src/config.cc': {'change_type': 'A', 'insertions': '125', 'deletions': '0'}, 'src/consumer.cc': {'change_type': 'A', 'insertions': '86', 'deletions': '0'}, 'src/enums.cc': {'change_type': 'A', 'insertions': '76', 'deletions': '0'}, 'src/message.cc': {'change_type': 'A', 'insertions': '65', 'deletions': '0'}, 'src/producer.cc': {'change_type': 'A', 'insertions': '76', 'deletions': '0'}, 'src/pulsar.cc': {'change_type': 'A', 'insertions': '49', 'deletions': '0'}, 'src/utils.h': {'change_type': 'A', 'insertions': '40', 'deletions': '0'}, 'test_consumer.py': {'change_type': 'A', 'insertions': '29', 'deletions': '0'}, 'test_producer.py': {'change_type': 'A', 'insertions': '36', 'deletions': '0'}}"
1,1d2550ded7cf92d50303e2e5a15070d084dc4aa7,2017-06-20T01:39:29,8600411230958717209,2477004771161532095,"{'pulsar.py': {'change_type': 'M', 'insertions': '330', 'deletions': '209'}}"
2,ee818aaa41de5d4a9202f121aca5e5c79aa27e55,2017-06-21T23:34:05,-4751162634521490753,8600411230958717209,"{'src/client.cc': {'change_type': 'M', 'insertions': '21', 'deletions': '3'}, 'src/consumer.cc': {'change_type': 'M', 'insertions': '44', 'deletions': '8'}, 'src/producer.cc': {'change_type': 'M', 'insertions': '13', 'deletions': '4'}, 'src/pulsar.cc': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}}"
3,5ab20b673dc7ad47176b770dfa686ff6189048d6,2017-06-22T23:18:29,-5485902533092465995,-7677513465355320903,"{'CMakeLists.txt': {'change_type': 'M', 'insertions': '16', 'deletions': '13'}, 'pulsar.py': {'change_type': 'M', 'insertions': '14', 'deletions': '11'}, 'pulsar_test.py': {'change_type': 'M', 'insertions': '14', 'deletions': '11'}, 'setup.py': {'change_type': 'M', 'insertions': '14', 'deletions': '11'}, 'src/authentication.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/client.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/config.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/consumer.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/enums.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/message.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/producer.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/pulsar.cc': {'change_type': 'M', 'insertions': '14', 'deletions': '12'}, 'src/utils.h': {'change_type': 'M', 'insertions': '14', 'deletions': '11'}, 'test_consumer.py': {'change_type': 'M', 'insertions': '14', 'deletions': '11'}, 'test_producer.py': {'change_type': 'M', 'insertions': '14', 'deletions': '11'}}"
4,c3d74ad1056dacaf6e12763a7f07ab76f8724c30,2017-06-26T18:53:38,-4751162634521490753,8600411230958717209,"{'pulsar.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
5,ef7b2c22fbd247272823f16812f04510f6a92e1b,2017-07-13T23:42:36,8600411230958717209,2477004771161532095,"{'pulsar.py': {'change_type': 'M', 'insertions': '11', 'deletions': '3'}}"
6,aebc8e658d259c7852c8b7b7b477fd182a93d68d,2017-07-31T18:11:21,8600411230958717209,3769502863097397106,"{'pulsar.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
7,bf83e1849ce6c4d5b1e83f90004e04242ae2a6eb,2017-07-31T20:11:07,-4751162634521490753,8600411230958717209,"{'.gitignore': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'CMakeLists.txt': {'change_type': 'M', 'insertions': '6', 'deletions': '1'}, 'setup.py': {'change_type': 'M', 'insertions': '4', 'deletions': '7'}}"
8,f2862b5e7fc5e8aeb9cc3824ffaca026bd6051de,2017-08-07T22:26:48,-4751162634521490753,8600411230958717209,"{'CMakeLists.txt': {'change_type': 'M', 'insertions': '4', 'deletions': '4'}, 'pulsar.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}, 'pulsar_test.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}, 'setup.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'src/enums.cc': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
9,cef04435f43133f57b2a2633fb54fc20fd6a275e,2017-08-10T18:08:26,-4751162634521490753,8600411230958717209,"{'setup.py': {'change_type': 'M', 'insertions': '3', 'deletions': '1'}}"
