,hexsha,commit_date,committer,author,change_summary
0,481354c404d0cc3b1064653de337feae5b37b4be,2020-03-17T14:19:22,-4416628806938486782,-4416628806938486782,"{'.asf.yaml': {'change_type': 'A', 'insertions': '31', 'deletions': '0'}, '.gitignore': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}, 'NOTICE': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '16', 'deletions': '0'}}"
1,119812b7fa38983a152be54db2730ac305cf216b,2020-05-03T03:05:42,-4416628806938486782,-4416628806938486782,"{'.gitmodules': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}, 'protocol': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'skywalking/__init__.py': {'change_type': 'A', 'insertions': '67', 'deletions': '0'}, 'skywalking/agent/__init__.py': {'change_type': 'A', 'insertions': '91', 'deletions': '0'}, 'skywalking/agent/grpc/__init__.py': {'change_type': 'A', 'insertions': '79', 'deletions': '0'}, 'skywalking/agent/http/__init__.py': {'change_type': 'A', 'insertions': '27', 'deletions': '0'}, 'skywalking/client/__init__.py': {'change_type': 'A', 'insertions': '29', 'deletions': '0'}, 'skywalking/client/grpc/__init__.py': {'change_type': 'A', 'insertions': '56', 'deletions': '0'}, 'skywalking/client/http/__init__.py': {'change_type': 'A', 'insertions': '0', 'deletions': '0'}, 'skywalking/config/__init__.py': {'change_type': 'A', 'insertions': '42', 'deletions': '0'}, 'skywalking/loggings/__init__.py': {'change_type': 'A', 'insertions': '25', 'deletions': '0'}, 'skywalking/trace/__init__.py': {'change_type': 'A', 'insertions': '34', 'deletions': '0'}, 'skywalking/trace/context/__init__.py': {'change_type': 'A', 'insertions': '130', 'deletions': '0'}, 'skywalking/trace/segment/__init__.py': {'change_type': 'A', 'insertions': '40', 'deletions': '0'}, 'skywalking/trace/span/__init__.py': {'change_type': 'A', 'insertions': '160', 'deletions': '0'}, 'skywalking/utils/__init__.py': {'change_type': 'A', 'insertions': '0', 'deletions': '0'}, 'skywalking/utils/counter.py': {'change_type': 'A', 'insertions': '40', 'deletions': '0'}, 'skywalking/utils/counter_test.py': {'change_type': 'A', 'insertions': '39', 'deletions': '0'}, 'skywalking/utils/lang.py': {'change_type': 'A', 'insertions': '29', 'deletions': '0'}, 'tests/__init__.py': {'change_type': 'A', 'insertions': '0', 'deletions': '0'}, 'tests/main.py': {'change_type': 'A', 'insertions': '53', 'deletions': '0'}}"
2,18b5bfa7921369eab15c247735bc653664858ff2,2020-05-03T04:42:28,-4416628806938486782,-4416628806938486782,"{'.gitignore': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}, 'Makefile': {'change_type': 'A', 'insertions': '36', 'deletions': '0'}, 'skywalking/client/http/__init__.py': {'change_type': 'M', 'insertions': '16', 'deletions': '0'}, 'skywalking/utils/__init__.py': {'change_type': 'M', 'insertions': '16', 'deletions': '0'}, 'tests/__init__.py': {'change_type': 'M', 'insertions': '16', 'deletions': '0'}, 'tools/check-license-header.py': {'change_type': 'A', 'insertions': '65', 'deletions': '0'}}"
3,a653ef5327e5ec6004382e856bfb88b3d99f134a,2020-05-03T05:00:59,-4416628806938486782,-4416628806938486782,"{'Makefile': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}, 'skywalking/agent/__init__.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'skywalking/agent/http/__init__.py': {'change_type': 'M', 'insertions': '6', 'deletions': '3'}, 'skywalking/utils/counter_test.py': {'change_type': 'D', 'insertions': '0', 'deletions': '39'}, 'tests/test_counter.py': {'change_type': 'A', 'insertions': '38', 'deletions': '0'}}"
4,7b0c74352e7624779e6ddbcba0c5a288b86e1a55,2020-05-03T05:05:14,-4416628806938486782,-4416628806938486782,"{'.gitignore': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}, 'Makefile': {'change_type': 'M', 'insertions': '2', 'deletions': '1'}}"
5,d4cbe8aca069b2a41a9b4891ebb8bbe0ed3ebce7,2020-05-03T17:08:27,-4416628806938486782,-4416628806938486782,"{'README.md': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'skywalking/agent/__init__.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}, 'skywalking/decorators/__init__.py': {'change_type': 'A', 'insertions': '41', 'deletions': '0'}, 'skywalking/loggings/__init__.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'skywalking/trace/context/__init__.py': {'change_type': 'M', 'insertions': '3', 'deletions': '0'}, 'tests/main.py': {'change_type': 'M', 'insertions': '14', 'deletions': '1'}}"
6,fff26c2239d2594b808f9bbd046bcd838a8fead3,2020-05-03T17:19:02,-4416628806938486782,-4416628806938486782,"{'skywalking/decorators/__init__.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}, 'skywalking/trace/context/__init__.py': {'change_type': 'M', 'insertions': '2', 'deletions': '2'}, 'tests/main.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}}"
7,ecefb9b5616dc23adb44a695f4ec2e3fff3440d9,2020-05-04T03:12:45,-4416628806938486782,-4416628806938486782,"{'skywalking/__init__.py': {'change_type': 'M', 'insertions': '3', 'deletions': '1'}, 'skywalking/agent/__init__.py': {'change_type': 'M', 'insertions': '2', 'deletions': '13'}, 'skywalking/agent/grpc/__init__.py': {'change_type': 'D', 'insertions': '0', 'deletions': '79'}, 'skywalking/agent/http/__init__.py': {'change_type': 'D', 'insertions': '0', 'deletions': '30'}, 'skywalking/agent/protocol/__init__.py': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, 'skywalking/agent/protocol/grpc/__init__.py': {'change_type': 'A', 'insertions': '86', 'deletions': '0'}, 'skywalking/agent/protocol/http/__init__.py': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, 'skywalking/decorators/__init__.py': {'change_type': 'M', 'insertions': '12', 'deletions': '2'}, 'skywalking/loggings/__init__.py': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'skywalking/trace/context/__init__.py': {'change_type': 'M', 'insertions': '1', 'deletions': '7'}, 'skywalking/trace/segment/__init__.py': {'change_type': 'M', 'insertions': '0', 'deletions': '1'}, 'skywalking/trace/span/__init__.py': {'change_type': 'M', 'insertions': '3', 'deletions': '1'}, 'tests/main.py': {'change_type': 'M', 'insertions': '8', 'deletions': '7'}}"
8,587ce91bf2aaadb282f4cabae7e0ebd01df670e9,2020-05-04T09:03:03,-4416628806938486782,-4416628806938486782,"{'skywalking/__init__.py': {'change_type': 'M', 'insertions': '0', 'deletions': '2'}, 'skywalking/agent/__init__.py': {'change_type': 'M', 'insertions': '10', 'deletions': '3'}, 'skywalking/agent/protocol/grpc/__init__.py': {'change_type': 'M', 'insertions': '5', 'deletions': '1'}, 'skywalking/decorators/__init__.py': {'change_type': 'M', 'insertions': '2', 'deletions': '7'}, 'skywalking/plugins/__init__.py': {'change_type': 'A', 'insertions': '33', 'deletions': '0'}, 'skywalking/plugins/http/__init__.py': {'change_type': 'A', 'insertions': '46', 'deletions': '0'}, 'skywalking/plugins/request/__init__.py': {'change_type': 'A', 'insertions': '47', 'deletions': '0'}, 'skywalking/trace/span/__init__.py': {'change_type': 'M', 'insertions': '23', 'deletions': '1'}, 'skywalking/trace/tags/__init__.py': {'change_type': 'A', 'insertions': '24', 'deletions': '0'}, 'tests/test_http_plugin.py': {'change_type': 'A', 'insertions': '46', 'deletions': '0'}}"
9,efea69ab32485a4db3950d8ce1561a91e7ca76d0,2020-05-04T09:33:03,-4416628806938486782,-4416628806938486782,"{'README.md': {'change_type': 'M', 'insertions': '62', 'deletions': '8'}, 'tests/main.py': {'change_type': 'M', 'insertions': '5', 'deletions': '5'}}"
