,hexsha,commit_date,committer,author,change_summary
0,bba338678b088f7dc3dfd111ae3d990c060eada5,2025-02-11T18:15:54,-2683089917508434300,-2683089917508434300,{}
1,12fd790affaf232767abc8da4152e0c411229acf,2025-02-11T18:32:05,-2683089917508434300,-2683089917508434300,"{'.dockerignore': {'change_type': 'A', 'insertions': '24', 'deletions': '0'}, '.gitignore': {'change_type': 'A', 'insertions': '10', 'deletions': '0'}, '.pre-commit-config.yaml': {'change_type': 'A', 'insertions': '23', 'deletions': '0'}, '.python-version': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, '.venv': {'change_type': 'A', 'insertions': '0', 'deletions': '0'}, '.vscode/settings.json': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'Dockerfile.alpine': {'change_type': 'A', 'insertions': '25', 'deletions': '0'}, 'Dockerfile.ubuntu': {'change_type': 'A', 'insertions': '25', 'deletions': '0'}, 'LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}, 'Makefile': {'change_type': 'A', 'insertions': '23', 'deletions': '0'}, 'NOTICE': {'change_type': 'A', 'insertions': '9', 'deletions': '0'}, 'README.md': {'change_type': 'A', 'insertions': '13', 'deletions': '0'}, 'alembic.ini': {'change_type': 'A', 'insertions': '119', 'deletions': '0'}, 'asfquart/CHANGELOG.md': {'change_type': 'A', 'insertions': '17', 'deletions': '0'}, 'asfquart/LICENSE': {'change_type': 'A', 'insertions': '201', 'deletions': '0'}, 'asfquart/README.md': {'change_type': 'A', 'insertions': '62', 'deletions': '0'}, 'asfquart/docs/auth.md': {'change_type': 'A', 'insertions': '68', 'deletions': '0'}, 'asfquart/docs/oauth.md': {'change_type': 'A', 'insertions': '21', 'deletions': '0'}, 'asfquart/docs/readme.md': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, 'asfquart/docs/sessions.md': {'change_type': 'A', 'insertions': '69', 'deletions': '0'}, 'asfquart/docs/templates.md': {'change_type': 'A', 'insertions': '61', 'deletions': '0'}, 'asfquart/examples/snippets/personal_access_tokens.py': {'change_type': 'A', 'insertions': '55', 'deletions': '0'}, 'asfquart/examples/snippets/roleaccounts.yaml': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'asfquart/examples/snippets/simple_app.py': {'change_type': 'A', 'insertions': '33', 'deletions': '0'}, 'asfquart/pyproject.toml': {'change_type': 'A', 'insertions': '30', 'deletions': '0'}, 'asfquart/setup.cfg': {'change_type': 'A', 'insertions': '12', 'deletions': '0'}, 'asfquart/src/asfquart/__init__.py': {'change_type': 'A', 'insertions': '44', 'deletions': '0'}, 'asfquart/src/asfquart/auth.py': {'change_type': 'A', 'insertions': '170', 'deletions': '0'}, 'asfquart/src/asfquart/base.py': {'change_type': 'A', 'insertions': '389', 'deletions': '0'}, 'asfquart/src/asfquart/config.py': {'change_type': 'A', 'insertions': '33', 'deletions': '0'}, 'asfquart/src/asfquart/generics.py': {'change_type': 'A', 'insertions': '116', 'deletions': '0'}, 'asfquart/src/asfquart/ldap.py': {'change_type': 'A', 'insertions': '67', 'deletions': '0'}, 'asfquart/src/asfquart/session.py': {'change_type': 'A', 'insertions': '119', 'deletions': '0'}, 'asfquart/src/asfquart/utils.py': {'change_type': 'A', 'insertions': '129', 'deletions': '0'}, 'asfquart/tests/README.md': {'change_type': 'A', 'insertions': '9', 'deletions': '0'}, 'asfquart/tests/auth.py': {'change_type': 'A', 'insertions': '138', 'deletions': '0'}, 'asfquart/tests/config.py': {'change_type': 'A', 'insertions': '26', 'deletions': '0'}, 'asfquart/tests/data/config.test.yaml': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'asfquart/tests/pytest.ini': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'asfquart/tests/session.py': {'change_type': 'A', 'insertions': '19', 'deletions': '0'}, 'atr/__init__.py': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'atr/models.py': {'change_type': 'A', 'insertions': '143', 'deletions': '0'}, 'atr/routes.py': {'change_type': 'A', 'insertions': '89', 'deletions': '0'}, 'atr/server.py': {'change_type': 'A', 'insertions': '104', 'deletions': '0'}, 'atr/static/root.css': {'change_type': 'A', 'insertions': '54', 'deletions': '0'}, 'atr/templates/root.html': {'change_type': 'A', 'insertions': '35', 'deletions': '0'}, 'migrations/README': {'change_type': 'A', 'insertions': '1', 'deletions': '0'}, 'migrations/env.py': {'change_type': 'A', 'insertions': '91', 'deletions': '0'}, 'migrations/script.py.mako': {'change_type': 'A', 'insertions': '26', 'deletions': '0'}, 'migrations/versions/15182b58521a_initial_schema.py': {'change_type': 'A', 'insertions': '28', 'deletions': '0'}, 'poetry.lock': {'change_type': 'A', 'insertions': '2301', 'deletions': '0'}, 'poetry.toml': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'pyproject.toml': {'change_type': 'A', 'insertions': '64', 'deletions': '0'}, 'scripts/generate-certificates': {'change_type': 'A', 'insertions': '70', 'deletions': '0'}, 'scripts/poetry/add': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'scripts/poetry/add-dev': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'scripts/poetry/build': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'scripts/poetry/run': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'scripts/poetry/sync': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'scripts/poetry/sync-dev': {'change_type': 'A', 'insertions': '12', 'deletions': '0'}, 'scripts/poetry/up': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'typestubs/asfquart/__init__.pyi': {'change_type': 'A', 'insertions': '6', 'deletions': '0'}, 'typestubs/asfquart/auth.pyi': {'change_type': 'A', 'insertions': '85', 'deletions': '0'}, 'typestubs/asfquart/base.pyi': {'change_type': 'A', 'insertions': '87', 'deletions': '0'}, 'typestubs/asfquart/config.pyi': {'change_type': 'A', 'insertions': '12', 'deletions': '0'}, 'typestubs/asfquart/generics.pyi': {'change_type': 'A', 'insertions': '31', 'deletions': '0'}, 'typestubs/asfquart/ldap.pyi': {'change_type': 'A', 'insertions': '22', 'deletions': '0'}, 'typestubs/asfquart/session.pyi': {'change_type': 'A', 'insertions': '26', 'deletions': '0'}, 'typestubs/asfquart/utils.pyi': {'change_type': 'A', 'insertions': '40', 'deletions': '0'}}"
2,daa3b94312d9529ad160d1ea14e28a53f96eba90,2025-02-12T12:01:33,-2683089917508434300,-2683089917508434300,"{'.gitignore': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}, '.vscode/settings.json': {'change_type': 'D', 'insertions': '0', 'deletions': '5'}}"
3,31634f8af47b3a18215c52e35f63d1d6bee5965a,2025-02-12T12:04:00,-2683089917508434300,-2683089917508434300,"{'.gitignore': {'change_type': 'M', 'insertions': '0', 'deletions': '3'}, 'scripts/both/add': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'scripts/both/add-dev': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'scripts/both/build': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'scripts/both/compare-dev': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'scripts/both/sync': {'change_type': 'A', 'insertions': '8', 'deletions': '0'}, 'scripts/both/sync-dev': {'change_type': 'A', 'insertions': '8', 'deletions': '0'}, 'scripts/both/up': {'change_type': 'A', 'insertions': '7', 'deletions': '0'}, 'scripts/uv/add': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'scripts/uv/add-dev': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'scripts/uv/build': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'scripts/uv/run': {'change_type': 'A', 'insertions': '2', 'deletions': '0'}, 'scripts/uv/sync': {'change_type': 'A', 'insertions': '5', 'deletions': '0'}, 'scripts/uv/sync-dev': {'change_type': 'A', 'insertions': '4', 'deletions': '0'}, 'scripts/uv/up': {'change_type': 'A', 'insertions': '3', 'deletions': '0'}, 'uv.lock': {'change_type': 'A', 'insertions': '1092', 'deletions': '0'}}"
4,bd22f41f249626c6bbc2d9a718d5a9801435d0dd,2025-02-12T12:07:11,-2683089917508434300,-2683089917508434300,"{'atr/models.py': {'change_type': 'M', 'insertions': '20', 'deletions': '2'}}"
5,cc49a3ad5b56b2df47e6a1de2db36d47616574aa,2025-02-12T12:29:16,-2683089917508434300,-2683089917508434300,"{'Makefile': {'change_type': 'M', 'insertions': '6', 'deletions': '1'}, 'README.md': {'change_type': 'M', 'insertions': '4', 'deletions': '0'}, 'docs/development.html': {'change_type': 'A', 'insertions': '12', 'deletions': '0'}, 'docs/development.md': {'change_type': 'A', 'insertions': '20', 'deletions': '0'}}"
6,0fbafc6473c2c8775b4b697f1768270a2ae7c846,2025-02-12T12:40:48,-2683089917508434300,-2683089917508434300,"{'asfquart/pyproject.toml': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'poetry.lock': {'change_type': 'M', 'insertions': '15', 'deletions': '16'}, 'pyproject.toml': {'change_type': 'M', 'insertions': '11', 'deletions': '10'}, 'uv.lock': {'change_type': 'M', 'insertions': '13', 'deletions': '13'}}"
7,a0d679c11c8e7581134a15d2b6cd83abb3bfe682,2025-02-12T14:23:27,-6642504849488430499,-6642504849488430499,"{'.venv': {'change_type': 'D', 'insertions': '0', 'deletions': '0'}}"
8,e7df0da945b89c22db5390335887a4fb87a7f7c4,2025-02-12T15:10:10,-6642504849488430499,-6642504849488430499,"{'Makefile': {'change_type': 'M', 'insertions': '1', 'deletions': '1'}, 'poetry.toml': {'change_type': 'M', 'insertions': '1', 'deletions': '0'}}"
9,84b9ec41f4d0c4cecb4c1ab4489c0816bbcc1b9f,2025-02-12T15:14:17,-2683089917508434300,-2683089917508434300,"{'.venv': {'change_type': 'A', 'insertions': '0', 'deletions': '0'}, 'atr/models.py': {'change_type': 'M', 'insertions': '5', 'deletions': '1'}}"
